"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2003&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Tue Mar 17 2020 23:20:20 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Clay Center","KS",4723,4,35
"Clear Lake Cogeneration Ltd","TX",1004306,5,2890
"Clearwater Paper APP CB","AR",93509,1393,433
"Clearwater Paper IPP Lewiston","ID",90384,3039,933
"Cleary Flood Hybrid","MA",92919,417,164
"Clewiston Sugar House","FL",430,151,645
"Clifton","KS",5028,0,14
"Clifty Creek","IN",7200912,29714,19857
"Clinch River","VA",3794895,22258,10301
"Clover","VA",5626748,1837,8299
"Coachella","CA",7660,0,21
"Coal Creek","ND",9699963,24825,9755
"Coalinga 25D Cogen","CA",107111,1,284
"Coalinga 6C Cogen","CA",43944,0,116
"Coalinga Cogeneration","CA",220930,1,589
"Coalinga Cogeneration Facility","CA",42417,0,119
"Coastal Carolina Clean Power","NC","--",992,166
"Coastal Plains","TX","--",0,299
"Coca Cola Bottling of New York","NY",1888,0,45
"Coffeen","IL",4723884,40210,10182
"Coffeyville","KS",12159,0,14
"Coffin Butte","OR","--",0,274
"Coggon","IA",312,0,6
"Coit GT","SC",1219,1,6
"Colbert","AL",7128974,52147,16188
"Colby","KS",241,0,1
"Colby City of","KS",256,0,5
"Colchester 16","VT",737,1,4
"Coldwater","MI",1130,0,26
"Coleman","MO",52,0,1
"Coleto Creek","TX",3923702,12435,3302
"Colfax","MI",562,1,11
"Collin","TX",70513,38,36
"Collins","IL",1117517,3683,1654
"Collins Pine Project","CA","--",5,32
"Collinwood","OH",818,0,2
"Colorado Energy Nations Company","CO",832983,2625,1218
"Colstrip","MT",16148901,14270,30710
"Colstrip Energy LP","MT",391830,587,272
"Colton Plant","CA","--",0,71
"Columbia (MO)","MO",107493,732,245
"Columbia (WI)","WI",7264621,27415,9248
"Columbia Energy Center","MO",4896,0,2
"Columbus MS","MS",107238,3826,775
"Colver Power Project","PA",806278,1738,678
"Comanche (CO)","CO",4825516,14725,8266
"Comanche (OK)","OK",642560,3,2525
"Combined Locks Energy Center","WI",94506,0,7
"Commerce Refuse To Energy","CA",48947,4,139
"Commercial Street","MA",12,"--","--"
"Commonwealth Chesapeake","VA",154911,43,146
"Concord","WI",22583,1,15
"Conemaugh","PA",11929020,6689,19512
"Conesville","OH",10183852,120828,26342
"Conners Creek","MI",18320,0,20
"Connersville","IN",2190,3,3
"Conoco","OK",199909,35,547
"Conroe","TX","--",0,120
"Consumer Operations LLC","WI",1090038,12286,3269
"Contra Costa","CA",312767,2,44
"Coolwater","CA",706100,4,628
"Coon Rapids II","IA",217,0,4
"Cooper","KY",1756703,18684,3837
"Coopersville","MI","--",0,501
"Cope","SC",2414424,2010,3506
"Copper","TX",9383,0,26
"Coralville GT","IA",183,0,1
"Cordova Energy","IL",154969,2,42
"Cornell Dubilier","SC",323,0,6
"Cornell University Central Heat","NY",157616,2176,915
"Corning","IA",175,0,3
"Corona Energy Partners, Ltd","CA",156770,1,439
"Coronado","AZ",5885884,17068,12839
"Corpus Christi Energy Center","TX",826214,5,231
"Corpus Refinery","TX",629843,12623,1728
"Cos Cob","CT",1784,0,11
"Cosmo Specialty Fibers Plant","WA",40672,290,433
"Coso Energy Developers","CA",16397,"--","--"
"Coso Finance Partners","CA",18233,"--","--"
"Coso Power Developers","CA",18877,"--","--"
"Cottonwood Energy Project","TX",264301,2,80
"Coughlin Power Station","LA",491631,3,168
"Countyside Genco LLC","IL","--",0,611
"Covanta Alexandria/Arlington Energy","VA",149038,14,570
"Covanta Babylon Inc","NY",94148,9,356
"Covanta Bristol Energy","CT",89955,8,333
"Covanta Delano Energy","CA","--",5,151
"Covanta Delaware Valley","PA",448869,43,2530
"Covanta Essex Company","NJ","--",36,1491
"Covanta Essex Company","NJ",234860,"--","--"
"Covanta Fairfax Energy","VA",451003,43,1755
"Covanta Haverhill","MA",218568,22,1023
"Covanta Hempstead","NY",373467,38,1493
"Covanta Hennepin Energy","MN",150037,13,622
"Covanta Lake County Energy","FL",68607,67,270
"Covanta Marion Inc","OR",71511,7,299
"Covanta Mendota","CA","--",24,64
"Covanta Niagara I, LLC","NY",306141,32,1
"Covanta Plymouth Renewable Energy","PA",182312,16,535
"Covanta Southeastern Connecticut Company","CT",109772,10,584
"Covanta Stanislaus Energy","CA",104287,10,329
"Covanta Tulsa Renewable Energy LLC","OK","--",10,395
"Covanta Wallingford Energy","CT",67248,6,201
"Covanta Warren Energy","NJ",55672,6,241
"Covington Facility","VA",1364377,5178,1754
"Coyote","ND",3037086,11704,10648
"Coyote Springs","OR",379893,3,90
"Coyote Springs II","OR",263948,1,723
"Craig (AK)","AK",1301,2,26
"Craig (CO)","CO",9451023,9432,17840
