"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2003&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Tue Mar 17 2020 23:20:20 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"1515 S Caron Road","IL",983,0,3
"491 E 48th Street","MI",23891,1,67
"59th Street","NY",401,0,682
"74th Street","NY",577,640,511
"A B Brown","IN",2781857,7456,6144
"A B Paterson","LA",425,1,2
"ABC Coke","AL","--",0,35
"ACE Cogeneration Facility","CA",899810,1123,543
"AD Srvcs Glacier Ridge Landfill, LLC","WI","--",0,152
"AES Alamitos LLC","CA",2084664,11,230
"AES Beaver Valley Partners Beaver Valley","PA",1317289,1237,875
"AES Deepwater","TX",681200,1891,1708
"AES Hawaii","HI",1527624,527,872
"AES Huntington Beach LLC","CA",808374,5,58
"AES Petersburg","IN",9796550,38588,16573
"AES Redondo Beach LLC","CA",606892,3,103
"AES Thames","CT",1553837,79,396
"AES Warrior Run Cogeneration Facility","MD",1450558,1993,438
"AG Processing Inc","IA",161671,484,1029
"AL Sandersville LLC","GA",2831,0,1
"ANP Bellingham Energy Project","MA",682666,3,58
"ANP Blackstone Energy Project","MA",732248,4,68
"Aberdeen CT","SD",1032,1,6
"Abilene Energy Center Combustion Turbine","KS",5735,0,16
"Acadia Energy Center","LA",726611,3,79
"Ada Cogeneration LP","MI",9381,0,26
"Adrian Energy Associates LLC","MI","--",0,240
"Aera San Ardo Cogen Facility","CA",64794,0,173
"Aera South Belridge Cogen Facility","CA",6901,0,18
"Afton Generating Station","NM",8325,0,6
"Agency GT","IA",5657,0,16
"Agnews Power Plant","CA",97022,0,267
"Agrilectric Power Partners Ltd","LA",951,3,49
"Agua Fria","AZ",273920,1,910
"Agua Mansa Power Plant","CA",48957,0,2
"Aidlin Geothermal Power Plant","CA",3364,"--","--"
"Air Products Port Arthur","TX",190482,1,438
"Airport Industrial","CO",2229,3,44
"Akron Recycle Energy Plant","OH",16102,50,103
"Al Turi","NY","--",0,432
"Alabama Pine Pulp","AL",24804,3473,794
"Alabama River Pulp","AL",44976,2972,1012
"Alameda","CA",1549,0,4
"Alamosa","CO",3736,0,10
"Albany","MO",47,0,1
"Albany Paper Mill","OR",270509,950,770
"Albertville","AL",891,1,17
"Alexandria","MN",3,"--","--"
"Algona","IA",538,1,11
"Algonquin Windsor Locks","CT",211227,9,254
"Aliso Water Management Agency","CA",113,0,116
"Allegany Cogen","NY",75831,0,207
"Allegheny Energy Units 3 4 & 5","PA",32076,0,10
"Allen","TN",4862777,17041,10455
"Allen S King","MN",3305438,25868,11742
"Alliant Energy Neenah","WI",114248,1,32
"Alliant SBD 8501 Aegon LI","IA",27,0,1
"Alliant SBD 8601 Quad Graphics","IA",279,0,6
"Alliant SBD 8602 Marion Sub","IA",54,0,1
"Alliant SBD 9106 Rockwell CR","IA",147,0,3
"Alliant SBD 9107 JBS USA","IA",113,0,2
"Alliant SBD 9201 Norplex","IA",21,"--","--"
"Alliant SBD 9203 Profol","IA",146,0,3
"Alliant SBD 9205 A Y McDonald","IA",35,0,1
"Alliant SBD 9206 Donaldson","IA",24,0,0
"Alliant SBD 9301 Prairie Farms","IA",28,0,1
"Alliant SBD 9302 Aegon NP","IA",14,"--","--"
"Alliant SBD 9402 Climax","IA",603,1,12
"Alliant SBD 9403 Aegon DC","IA",18,"--","--"
"Alliant SBD 9502 Eaton","IA",50,0,1
"Alliant SBD 9702 Cedar Graphics","IA",12,"--","--"
"Alliant SBD 9801 Aegon Martha's Way","IA",4,"--","--"
"Alliant SBD 9901 Wells Fargo","IA",7,"--","--"
"Alliant SBD0201 Ingredion","IA",149,0,3
"Alliant SBG 9802 Toyota","IA",13,"--","--"
"Alliant Techsystems","MN",312,0,6
"Alloy Steam Station","WV",155642,1156,2575
"Alma","WI",1001397,8515,3455
"Almond Power Plant","CA",16556,0,3
"Alsey","IL",872,0,2
"Alsip Paper Condominium Association","IL",47491,0,130
"Alta Municipal Utilities","IA",78,0,2
"AltaGas Pomona Energy Inc.","CA",164819,1,456
"AltaGas Ripon Energy Inc.","CA",193836,1,534
"Altamont","IL",16,"--","--"
"Altamont Gas Recovery","CA","--",0,93
"Altavista Power Station","VA",431881,93,604
"Alyeska Seafoods","AK",8485,12,172
"Amalgamated Sugar LLC Nyssa","OR",105286,378,85
"Amedee Geothermal Venture I","CA",0,"--","--"
"American Crystal Sugar Hillsboro","ND",163507,580,361
"American Gypsum Cogeneration","CO",19592,0,56
"Ames Diesel Generating Station","IA",53,0,1
"Ames Electric Services Power Plant","IA",469785,893,1056
"Ames GT","IA",772,1,4
"Anadarko","OH",175,0,3
"Anadarko Plant","OK",501027,0,13
"Anaheim GT","CA",55176,0,8
"Anchorage 1","AK",20709,0,58
"Anclote","FL",3194517,30931,8364
"Anderson","IN",2420,1,3
"Anderson Erickson","IA",130,0,3
"Anderson Power Products Division","MA",103,0,2
"Androscoggin Energy Center","ME",592886,4,68
"Androscoggin Mill","ME",239447,3104,928
"Angoon","AK",1535,2,31
"Angus Anson","SD",74532,1,48
"Anheuser-Busch St Louis","MO",348687,5392,740
"Aniak","AK",1938,3,39
"Animas","NM",85657,0,231
"Anita","IA",250,0,5
"Ansley","NE",23,0,1
"Anson Abenaki Hydros","ME",109692,590,188
"Antelope Valley","ND",7010925,13634,12309
"Anthony","KS",1433,0,34
"Apache Station","AZ",2896416,7130,6681
"Apex Generating Station","NV",366826,2,63
"Apogee Technology Inc","MI",33,"--","--"
"Arapahoe","CO",1003979,2823,2827
"Arapahoe Combustion Turbine Project","CO",130323,1,29
"Arcadia Electric","WI",1191,1,24
"Arcanum","OH",30,0,1
"Arcanum Peaking","OH",351,0,7
"ArcelorMittal Burns Harbor","IN",32553,49,2098
"ArcelorMittal Indiana Harbor West","IN",97187,33,8165
"ArcelorMittal Warren","OH",34968,1149,212
"Archbald Power Station","PA",21953,0,13
"Archer Daniels Midland Cedar Rapids","IA",1777296,3202,1558
"Archer Daniels Midland Decatur","IL",3272439,7822,2410
"Archer Daniels Midland Des Moines","IA",131172,840,874
"Archer Daniels Midland Fredonia","KS",7794,1,28
"Archer Daniels Midland Little Rock","AR",12682,0,300
"Archer Daniels Midland Mankato","MN",111556,567,743
"Archer Daniels Midland Peoria","IL",520321,6292,1388
"Archer Daniels Midland Southport","NC",1769,2,10
"Argus Cogen Plant","CA",1434278,235,1372
"Argyle","WI",63,0,1
"Arlington Valley Energy Facility","AZ",555023,3,56
"Armstrong","PA",163054,9,51
"Arnold","NE",31,0,1
"Arsenal Hill","LA",66491,0,67
"Arthur Kill Generating Station","NY",421314,2,295
"Arthur Von Rosenberg","TX",746335,4,2043
"Arvada","WY",4732,0,14
"Arvah B Hopkins","FL",549454,1274,846
"Asbury","MO",1429330,3779,4789
"Asbury Park Press","NJ",4236,0,93
"Ascend Performance Materials Texas Inc.","TX",206651,35,6019
"Ascutney","VT",1700,2,9
"Ashdown","AR",396292,4962,3106
"Asheville","NC",2299080,14606,4504
"Ashland","KS",83,0,2
"Ashland Inc","MO",266209,6543,675
"Ashtabula","OH",210710,1,546
"Astoria Gas Turbines","NY",169721,0,400
"Astoria Generating Station","NY",2217492,2431,2624
"Atascosita","TX","--",0,568
"Atkinson","GA",1089,2,6
"Atlantic","IA",213,0,2
"Attala","MS",158910,1,20
"Auburn","NE",1173,0,27
"Auburn State Street","NY",304,0,1
"Auburndale Peaker Energy Center","FL",23300,4,70
"Augusta Electric Plant No 1","KS",66,0,2
"Augusta Electric Plant No 2","KS",2086,0,50
"Auke Bay","AK",248,0,4
"Aurora","IL",45806,0,17
"Aurora Energy LLC Chena","AK",261348,501,584
"Austin Downtown","MN",2035,0,5
"Austin Northeast","MN",168259,1841,424
"Austin State Hospital","TX",924,0,3
"Avenue A Generator Sets","IL",43,"--","--"
"Avon Energy Partners LLC","IL","--",0,177
"Avon Lake","OH",3689561,32666,13020
"Avon Park","FL",15531,9,60
"Axiall Natrium Plant","WV",1085297,10780,4036
"Axiall Plaquemine","LA",1230448,7,3867
"B Braun Medical","CA",35764,0,100
"B C Cobb","MI",2077927,11530,2891
"B E Morrow","MI",462,0,1
"B L England","NJ",1502220,15576,3504
"BASF Freeport Works","TX",439301,2,1190
"BCP","CO",148292,1,347
"BJ Gas Recovery","GA","--",0,214
"BP Chemicals Green Lake Plant","TX",56106,16,2901
"Baconton Power Plant","GA",19061,3,19
"Badger Creek Limited","CA",178045,1,499
"Bailly","IN",2412332,4122,12096
"Baldwin City Plant No 1","KS",90,0,2
"Baldwin Energy Complex","IL",13000425,23869,17292
"Balefill LFG Project","NJ","--",0,159
"Bancroft","IA",173,0,3
"Bank of America Plaza","GA",30,0,1
"Baptist Medical Center","FL",43222,0,115
"Bar Harbor","ME",509,1,10
"Barber Creek","WY",3838,0,11
"Barney M Davis","TX",641510,282,877
"Barre","MA","--",0,69
"Barron","WI",274,0,5
"Barrow","AK",37287,0,104
"Barry","AL",11840910,47815,20368
"Bassett Medical Center","NY",129,0,3
"Bastrop Energy Center","TX",561269,3,167
"Batavia Power Plant","NY",8933,0,9
"Batesville Generation Facility","MS",497633,3,141
"Baton Rouge Plant","LA",69071,0,162
"Battle Mountain","NV",71,0,1
"Baxter Wilson","MS",364165,2,1202
"Bay County Waste to Energy","FL",60851,125,367
"Bay Front","WI",336985,792,1221
"Bayboro","FL",36531,52,200
"Baylor University Cogen","TX",23445,0,68
"Bayonne Plant Holding LLC","NJ",207164,5,50
"Bayou Cogen Plant","TX",1507540,8,4166
"Bayou Cove Peaking Power","LA",4519,0,1
"Bayswater Peaking Facility LLC","NY",23179,4,20
"Baytown","TX","--",0,174
"Baytown Energy Center","TX",2072642,10,180
"Bayview","VA",4047,6,80
"Bear Canyon Power Plant","CA",3571,"--","--"
"Bear Mountain Limited","CA",176379,1,490
"Beaver","OR",203750,30,638
"Beaver City","NE",54,0,1
"Beaver Island","MI",231,0,5
"Belews Creek","NC",8660881,53203,24335
"Belle River","MI",7541784,21990,8464
"Bellefonte","AL",3120,4,61
"Belleville","KS",249,0,6
"Bellevue","IA",67,0,1
"Bellingham Cogeneration Facility","MA",1158901,28,870
"Bellmeade Power Station","VA",152110,92,48
"Beloit","KS",254,0,6
"Beluga","AK",1069053,5,2995
"Ben French","SD",218860,685,504
"Benedum Plant","TX",2786,0,64
"Benkelman","NE",36,0,1
"Benndale","MS",27,"--","--"
"Benning","DC",55375,259,88
"Benson City of","MN",121,0,2
"Beowawe Power","NV",2654,"--","--"
"Bergen Generating Station","NJ",1705407,21,347
"Berkshire Power","MA",449319,2,48
"Berlin","MD",2415,3,48
"Berlin 5","VT",10681,15,58
"Berlin Gorham","NH","--",2198,673
"Berlin Landfill Gas","WI","--",0,17
"Bernice Lake","AK",43560,0,122
"Berry Cogen","CA",211765,1,570
"Berry Cogen Tanne Hills 18","CA",88435,0,238
"Berry Placerita Cogen","CA",195468,1,539
"Bethany","MO",166,0,3
"Bethany II","MO",6,"--","--"
"Bethel","AK",31915,45,636
"Bethlehem Energy Center","NY",92440,676,118
"Bethlehem Power Plant","PA",323683,8,74
"Bethpage Power Plant","NY",256051,0,203
"Big Bend","FL",8920080,11962,27259
"Big Brown","TX",8944374,78327,6472
"Big Cajun 1","LA",2496,0,8
"Big Cajun 1 Peakers","LA",11361,0,30
"Big Cajun 2","LA",12165973,47831,17969
"Big Pine","FL",276,0,6
"Big Sandy","KY",5568371,42602,11252
"Big Sandy Peaker Plant","WV",3698,0,5
"Big Spring Texas Refinery","TX",2682,0,6
"Big Stone","SD",3375104,11120,14452
"Binghamton Cogen","NY",4611,0,3
"Biodyne Beecher","IL","--",0,5
"Biodyne Congress","IL","--",0,192
"Biodyne Lyons","IL","--",0,195
"Biodyne Peoria","IL","--",0,183
"Biodyne Springfield","IL","--",0,15
"Biomass One LP","OR","--",24,133
"Birchwood Power","VA",1281088,398,390
"Bird City","KS",11,"--","--"
"Biron Mill","WI",406019,4741,843
"Black Dog","MN",1654319,2792,5987
"Black Hawk Station","TX",1141955,8,458
"Black Hills Ontario Facility","CA",29271,0,81
"Blackburn Landfill Co-Generation","NC","--",0,128
"Blackhawk","WI",16474,0,42
"Blackjack Creek Treating","FL",3033,0,8
"Blacks Fork Gas Processing Plant","WY",565,0,12
"Blacksand Generating Facility","CA",37441,0,103
"Blackstone Street","MA",25755,229,128
"Blanco Compressor Station","NM",14947,0,35
"Blewett","NC",956,1,5
"Block Island","RI",8640,12,174
"Bloomfield","IA",79,0,2
"Blooming Prairie","MN",138,0,3
"Blossburg","PA",1833,0,5
"Blount Street","WI",528806,5807,1262
"Blue Earth","MN",224,0,4
"Blue Lake","MN",7693,11,42
"Blue Spruce Energy Center","CO",168984,1,45
"Blue Valley","MO",333847,4676,311
"Blue Water Gas Plant","LA",96,0,2
"Bluebonnet","TX","--",0,124
"Bluegrass Generating Station","KY",1838,0,1
"Bluffton","IN",712,0,15
"Blundell","UT",5099,"--","--"
"Boardman","OR",4227226,11901,9144
"Boise Cascade International Falls","MN",203757,44,396
"Bolivar","TN",3895,5,76
"Bonanza","UT",3534516,1210,6653
"Boomer Lake Station","OK",990,0,1
"Boralex Sherman LLC","ME","--",19,165
"Borger Plant","TX","--",13,331
"Borger Plant","TX",4093,"--","--"
"Bosque County Peaking","TX",579165,3,233
"Boulder Park","WA",7920,0,183
"Boulevard","GA",210,0,1
"Bountiful City","UT",8801,1,113
"Bowater Newsprint Calhoun Operation","TN",528686,6340,1183
"Bowen","GA",18838706,149582,22644
"Bowline Point","NY",985465,2138,1671
"Bowling Green","OH",534,1,11
"Bowling Green Generating Station","OH",9600,"--","--"
"Bowling Green Peaking","OH",8733,0,1
"Boydton Plank Road Cogen Plant","VA",1688,7,27
"Brainerd Public Utilities","MN",44872,302,256
"Brame Energy Center","LA",3551037,13492,7322
"Brandon Shores","MD",8244945,36983,11832
"Brandon Station","TX",33204,0,92
"Brandy Branch","FL",142457,4,61
"Brandywine Power Facility","MD",233804,6,75
"Branford","CT",197,0,1
"Brawley","CA",235,0,1
"Brayton Point","MA",6677771,32557,9840
"Breese","IL",361,1,7
"Bremo Bluff","VA",1556411,10285,4138
"Brent Run Generating Station","MI","--",0,158
"Brentwood","NY",30032,0,3
"Brickyard Energy Partners LLC","IL","--",0,233
"Bridgeport Energy Project","CT",1137846,6,170
"Bridgeport Gas Processing Plant","TX",22623,0,540
"Bridgeport Station","CT",2454869,3094,1963
"Bridgewater Power LP","NH",19767,33,130
"Broad River Energy Center","SC",121496,5,47
"Broadway (CA)","CA",99072,1,24
"Broadway (IN)","IN",9720,2,13
"Broken Bow","NE",1288,0,27
"Bronx Zoo","NY",11967,4,333
"Brookhaven Facility","NY","--",0,199
"Brooklyn","IA",215,0,5
"Brooklyn City North Plant","IA",390,1,8
"Brooklyn Navy Yard Cogeneration","NY",1074084,23,73
"Brown Station Road Plant II","MD","--",0,8
"Brownsville Peaking Power","TN",14242,0,8
"Brunner Island","PA",8165242,66888,12254
"Brunot Island","PA",12653,0,11
"Brunswick","NV",62,0,1
"Brunswick Cellulose","GA",315852,7256,1847
"Brush Generation Facility","CO",23217,0,3
"Brush IV","CO",39660,0,24
"Bryan (OH)","OH",1041,1,5
"Bryan (TX)","TX",16244,1,13
"Bryant Sugar House","FL",86,27,400
"Buchanan Generation LLC","VA",12024,0,8
"Buck","NC",2081329,10984,2816
"Buckeye Florida LP","FL",107429,4860,1316
"Bucknell University","PA",30620,1,81
"Bucksport Generation LLC","ME",1159543,856,2500
"Bull Run","TN",5257875,40324,15772
"Bunge Oil","IL",12546,0,35
"Buras","LA",1021,0,3
"Burlingame","KS",303,0,7
"Burlington (CO)","CO",5264,8,29
"Burlington (IA)","IA",1376319,5109,983
"Burlington (KS)","KS",542,0,12
"Burlington GT","VT",912,1,5
"Burney Forest Products","CA",5336,16,108
"Burney Mountain Power","CA","--",12,67
"Burton","SC",363,0,2
"Burwell","NE",154,0,3
"Bushnell","IL",163,0,3
"Butler Municipal Power Plant","MO",491,1,10
"Butler-Warner Generation Plant","NC",72388,29,352
"Buxton","NC",2295,3,45
"Buzzard Point","DC",27509,26,105
"Buzzard Roost","SC",1096,0,0
"Byxbee Park Sanitary Landfill","CA","--",0,22
"C D McIntosh Jr","FL",3153816,9590,6173
"C E Newman","TX",3551,0,3
"C P Kelco San Diego Plant","CA",163484,1,452
"C R Huntley Generating Station","NY",3367908,32217,5487
"C R Wing Cogen Plant","TX",518042,3,1432
"C W Burdick","NE",19891,1,11
"CE Leathers","CA",8784,"--","--"
"CE Turbo LLC","CA",1419,"--","--"
"CES Placerita Power Plant","CA",25049,0,68
"CH Resources Beaver Falls","NY",34636,2,5
"CH Resources Syracuse","NY",10364,0,3
"CID Gas Recovery","IL","--",0,77
"CII Carbon LLC","LA",168820,4782,500
"CIP II/AR Bridgewater Holdings - NJCOE","NJ",22204,2,65
"CITGO Refinery Powerhouse","LA","--",3,833
"CP Crane Power, LLC","MD",2189428,29267,9843
"CPI USA NC Roxboro","NC",194519,954,141
"CPI USA NC Southport","NC",474339,2199,457
"CSL Behring LLC","IL",27412,0,75
"CSL Gas Recovery","FL","--",0,119
"CSUCI Site Authority","CA",103871,1,278
"CT Resource Rec Authority Facility","CT",369024,33,1155
"Cabot Holyoke","MA",341,4,60
"Cadillac Renewable Energy","MI","--",47,292
"CalPeak Power Border Peaker Plant","CA",6730,0,1
"CalPeak Power Enterprise Peaker Plant","CA",5529,0,1
"CalPeak Power Panoche Peaker Plant","CA",2557,"--","--"
"CalPeak Power Vaca Dixon Peaker Plant","CA",3818,"--","--"
"Calcasieu","LA",20458,0,14
"Caledonia","MS",213380,1,25
"Caledonia Power Facility","MS",5801,0,5
"Calhoun Energy Center","AL",55731,7,37
"Calistoga Power Plant","CA",15167,"--","--"
"Calumet","IL",3992,0,11
"Calumet Energy Team LLC","IL",6694,0,4
"Calvert City","KY",354321,0,39
"Cambria Cogen","PA",628592,1878,708
"Cambridge","NE",59,0,1
"Cambridge CT","MN",382,1,2
"Camden Plant Holdings LLC","NJ",47064,3,17
"Camden Resource Recovery Facility","NJ",142556,14,525
"Cameo","CO",656436,1828,647
"Campbell City","MO",164,0,3
"Campbell Village","NE",6,"--","--"
"Canaday","NE",55604,6,110
"Canadys Steam","SC",2182781,18044,4415
"Canal","MA",3727888,21293,4436
"Cane Island","FL",690414,4,96
"Cane Run","KY",3481091,14762,6055
"Canton North Carolina","NC",989843,7060,2216
"Cape Canaveral","FL",2473265,12725,9291
"Cape Fear","NC",1577181,10543,2250
"Cape Gas Turbine","ME",517,0,3
"Capitol District Energy Center","CT",11173,0,7
"Carbon","UT",1456448,4979,3053
"Cardinal","OH",9620382,87933,18861
"Cardinal Cogen","CA",227714,1,628
"Cargill Corn Wet Milling Plant","TN",336968,1916,4
"Cargill Hammond","IN",111258,0,180
"Caribou Generation Station","ME",589,1,12
"Carl Bailey","AR",53060,394,84
"Carlls Corner","NJ",9747,0,35
"Carlyle","IL",333,0,7
"Carmi","IL",408,0,9
"Caro","MI",1,"--","--"
"Carr Street Generating Station","NY",11698,2,4
"Carrollton","MO",930,0,20
"Carson Cogeneration","CA",133779,0,2
"Carson Ice-Gen Project","CA",221504,1,26
"Carthage","MO",2810,2,60
"Carthage Energy LLC","NY",17849,1,22
"Carville Energy LLC","LA",709563,3,150
"Cascade","IA",304,0,6
"Cascade Creek","MN",3489,0,5
"Casey City of","IL",100,0,2
"Cass County","NE",22054,0,63
"Castleton Energy Center","NY","--",0,8
"Castleton Energy Center","NY",108810,8,60
"Catalyst Paper Snowflake Mill","AZ",753863,113,855
"Cayuga","IN",6109345,60748,8746
"Cayuga Operating Company","NY",2056455,3784,3190
"Cedar Bay Generating Company LP","FL",2213872,1581,1206
"Cedar Bayou","TX","--",674,1825
"Cedar Bayou","TX",2269543,"--","--"
"Cedar Station","NJ",28367,0,40
"Centaur Generator Facility","CA",17362,0,45
"Centennial","AK",422,1,8
"CenterPoint Energy Field Svs.","LA",4,"--","--"
"Centerville","IA",1989,3,11
"Central District Wastewater Treat Plant","FL","--",0,104
"Central Energy Plant","FL",79875,0,218
"Central Michigan University","MI",178722,1690,1123
"Central Plant","SC",432,0,9
"Central Power Plant","RI",1187,7,2
"Central Utilities Plant LAX","CA",22639,0,62
"Central Utility Plant","TX",17738,1,406
"Central Wayne Air Quality","MI",59065,107,324
"Century Generating Facility","CA",4780,0,13
"CenturyLink Regional HQ","NC",97,0,2
"Ceredo Generating Station","WV",11534,0,3
"Chalk Cliff Limited","CA",179099,1,498
"Chalk Point LLC","MD",5427940,47427,12217
"Chambers Cogeneration LP","NJ",1990296,1106,1182
"Chambersburg","PA",33299,0,23
"Chamois","MO",492808,929,1494
"Chaney Dell Plant","OK",10931,0,31
"Channel Energy Center LLC","TX",1509625,7,144
"Channelview Cogeneration Plant","TX",2800037,15,284
"Chanute 2","KS",2907,0,2
"Chanute 3","KS",590,1,12
"Chappell","NE",10,"--","--"
"Charles P Keller","NY",6892,4,148
"Charles Poletti","NY",1749306,1461,1997
"Charles R Lowman","AL",3796946,16586,9649
"Charter Dura-Bar","IL",126,0,3
"Chattahoochee Energy Facility","GA",172058,1,31
"Chehalis Generating Facility","WA",198156,3,31
"Chena 6","AK",6,"--","--"
"Cherokee","CO",4381213,5378,9484
"Cherokee County Cogen","SC",60637,0,12
"Cherry Street","MA",2551,3,52
"Chesapeake","VA",3241622,24676,6029
"Chester Generating Station","PA",581,1,3
"Chester Operations","PA",632667,0,145
"Chesterfield","VA",8223550,73075,13273
"Chestnut Ridge Gas Recovery","TN","--",0,260
"Cheswick Power Plant","PA",3481257,41216,4268
"Chevak","AK",1929,3,40
"Chevron Oil","MS",1561208,9,212
"Chicago","IL",1441,0,4
"Chicago Baking","IL",1503,0,4
"Chicopee Electric","MA","--",0,114
"Chillicothe","MO",1998,2,15
"Chino Mines","NM",2043,0,9
"Choctaw County","MS",14825,0,13
"Cholla","AZ",6684063,15556,11370
"Chouteau","OK",366091,2,76
"Chowchilla II","CA",15790,0,367
"Christiana","DE",3206,0,5
"Chula Vista Energy Center","CA",15236,0,2
"Church Street Plant","VA",704,1,14
"Cimarron River","KS",58937,0,101
"City Light & Water","NE",65,0,1
"Civic Center","CA",85016,0,229
"Clairton Works","PA",44489,4,164
"Clark (NVE)","NV",1507488,1,521
"Clark (SD)","SD",5,"--","--"
"Clark University","MA",2936,1,68
"Claude Vandyke","MI",6808,0,19
"Clay Boswell","MN",7462651,18118,13643
