"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2005&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Tue Mar 17 2020 23:19:44 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Coalinga 6C Cogen","CA",45013,0,100
"Coalinga Cogeneration","CA",216843,1,380
"Coalinga Cogeneration Facility","CA",40834,0,118
"Coastal Carolina Clean Power","NC",2291,7,277
"Coastal Plains","TX","--",0,436
"Coca Cola Bottling of New York","NY",971,1,38
"Coffeen","IL",4214378,37149,8421
"Coffeyville","KS",5178,0,11
"Coffin Butte","OR","--",0,278
"Cogeneration 1","AZ",16804,0,82
"Coggon","IA",40,0,4
"Coit GT","SC",399,0,2
"Colbert","AL",7796092,35325,14813
"Colby","KS",112,"--","--"
"Colby City of","KS",214,0,2
"Colchester 16","VT",1116,1,5
"Coldwater","MI",685,0,46
"Coleman","MO",72,0,0
"Coleto Creek","TX",5030359,13059,3511
"Colfax","MI",385,"--","--"
"Collins Pine Project","CA","--",7,49
"Collinwood","OH",887,0,7
"Colorado Energy Nations Company","CO",775121,2505,1858
"Colstrip","MT",17191277,14070,33470
"Colstrip Energy LP","MT",394593,494,272
"Colton Plant","CA","--",0,124
"Columbia (MO)","MO",111090,901,252
"Columbia (WI)","WI",7018477,23676,5308
"Columbia Energy Center","MO",5062,0,2
"Columbia Energy Center (SC)","SC",189018,1,84
"Columbia Flooring Melbourne","AR",6298,1,6
"Columbus MS","MS",52708,3367,714
"Colver Power Project","PA",841611,2013,676
"Colville Indian Plywood & Veneer","WA","--",0,227
"Comanche (CO)","CO",4351434,12195,7231
"Comanche (OK)","OK",610239,3,2191
"Combined Locks Energy Center","WI",56199,0,5
"Combustion Turbine Project No 2","CA",24289,0,55
"Commerce Refuse To Energy","CA",24538,4,141
"Commercial Street","MA",6,"--","--"
"Commonwealth Chesapeake","VA",76755,27,72
"Concord","WI",194158,2,145
"Concord Cogen","CA",8917,0,168
"Conemaugh","PA",11297605,6511,17838
"Conesville","OH",9380443,96733,19195
"Conners Creek","MI",69382,0,59
"Connersville","IN",389,1,2
"Conoco","OK",134343,7,394
"Conroe","TX","--",0,149
"Consumer Operations LLC","WI",1073403,10483,3116
"Contra Costa","CA",189435,1,18
"Coolwater","CA",218254,1,184
"Coon Rapids II","IA",23,0,1
"Cooper","KY",1894147,21249,4186
"Coopersville","MI","--",0,530
"Cope","SC",2568492,2080,3824
"Copper","TX",14191,0,39
"Coralville GT","IA",131,"--","--"
"Cordova Energy","IL",345058,2,43
"Cornell Dubilier","SC",25,0,0
"Cornell University Central Heat","NY",155386,2222,902
"Corning","IA",103,0,2
"Corona Energy Partners, Ltd","CA",165581,1,447
"Coronado","AZ",6359957,9504,12835
"Corpus Christi","TX",241596,0,183
"Corpus Christi Energy Center","TX",1145520,7,342
"Corpus Refinery","TX",174870,1,490
"Cos Cob","CT",3164,0,18
"Cosmo Specialty Fibers Plant","WA",39848,363,393
"Coso Energy Developers","CA",15151,"--","--"
"Coso Finance Partners","CA",17530,"--","--"
"Coso Power Developers","CA",17863,"--","--"
"Cottonwood Energy Project","TX",1038404,6,178
"Coughlin Power Station","LA",487921,3,184
"Countyside Genco LLC","IL","--",0,708
"Covanta Alexandria/Arlington Energy","VA",146205,14,557
"Covanta Babylon Inc","NY",94547,9,360
"Covanta Bristol Energy","CT",82296,8,320
"Covanta Delano Energy","CA","--",4,129
"Covanta Delaware Valley","PA",459850,923,5183
"Covanta Essex Company","NJ",220150,34,1397
"Covanta Fairfax Energy","VA",449443,40,1648
"Covanta Haverhill","MA",217729,22,1020
"Covanta Hempstead","NY",384621,37,1503
"Covanta Hennepin Energy","MN",162620,14,662
"Covanta Indianapolis Energy","IN",299197,114,334
"Covanta Lake County Energy","FL",69442,6,267
"Covanta Marion Inc","OR",33834,7,291
"Covanta Mendota","CA","--",20,179
"Covanta Niagara I, LLC","NY",315367,34,0
"Covanta Plymouth Renewable Energy","PA",163370,16,540
"Covanta Southeastern Connecticut Company","CT",106683,10,403
"Covanta Stanislaus Energy","CA",101771,10,318
"Covanta Tulsa Renewable Energy LLC","OK",124630,12,488
"Covanta Wallingford Energy","CT",63496,6,197
"Covanta Warren Energy","NJ",40025,6,233
"Covington Facility","VA",1534099,4797,910
"Cox Waste to Energy","KY","--",5,44
"Coyote","ND",3369022,12440,11122
"Coyote Springs","OR",566696,6,150
"Coyote Springs II","OR",579802,3,1604
"Craig (AK)","AK",66,1,11
"Craig (CO)","CO",9826038,3698,16063
"Craven County Wood Energy LP","NC","--",63,354
"Crawford","IL",2968154,8368,2040
"Crawfordsville Power Plant","IN",67080,846,160
"Creed Energy Center","CA",4996,0,1
"Crestwood Dothan","AL",386,0,5
"Crete","NE",1550,0,28
"Crete Energy Venture LLC","IL",9116,0,2
"Crisfield","MD",6774,6,92
"Crisp Plant","GA",2857,17,7
"Crist","FL",4983179,26409,7457
"Crockett Cogen Project","CA",534066,3,1256
"Cromby Generating Station","PA",1068740,4526,1910
"Cross","SC",7472679,8275,3003
"Crossroads Energy Center","MS",7243,0,2
"Croswell","MI",30,0,1
"Crotched Mountain Rehabilitation Center","NH",37,"--","--"
"Croydon CT Generating Station","PA",46997,57,110
"Crozer Chester Medical Center","PA",614,1,116
"Crystal River","FL",14387684,93126,35158
"Cudjoe","FL",621,0,3
"Cumberland (NJ)","NJ",20569,1,18
"Cumberland (TN)","TN",15048535,15852,24663
"Cumberland (WI)","WI",540,0,11
"Cunningham","NM",804752,4,1250
"Currant Creek","UT",135239,"--","--"
"Curtis","NE",168,0,4
"Curtis H Stanton Energy Center","FL",1056211,2,119
"Cushing","OK",832,0,19
"Custer Energy Center","WI",431,"--","--"
"Cutler","FL",123362,1,85
"Cutrale Citrus Juices USA I","FL",10054,0,30
"Cutrale Citrus Juices USA II","FL",70664,0,94
"Cuyamaca Peak Energy Plant","CA",5380,0,0
"Cymric 31X Cogen","CA",54981,0,106
"Cymric 36W Cogen","CA",112792,0,191
"Cymric 6Z Cogen","CA",53458,0,105
"D B Wilson","KY",3668029,9986,5743
"D G Hunter","LA",2164,"--","--"
"DFW Gas Recovery","TX","--",1,120
"DG Whitefield LLC","NH","--",25,37
"DSM Pharmaceuticals","NC",1788,2,16
"DTE Pontiac North LLC","MI",2367,0,2
"Dafter","MI",447,"--","--"
"Dahlberg","GA",64011,11,194
"Dale","KY",1351461,7448,2105
"Dallman","IL",2226077,3298,6000
"Dan E Karn","MI",4084387,17101,5056
"Dan River","NC",706110,3854,1462
"Danbury Diesel","WI",319,"--","--"
"Dane County Landfill #2 Rodefeld","WI","--",0,181
"Dansby","TX",308198,2,287
"Danskammer Generating Station","NY",2437200,10029,2992
"Darby Power, LLC","OH",18355,0,6
"Darbytown","VA",100184,0,77
"Darlington County","SC",65814,4,71
"Dartmouth College Heating Plant","NH",63574,68,24
"Dartmouth Power Associates LP","MA",108442,1,30
"Dave Johnston","WY",6055750,"--","--"
"Dave Johnston","WY","--",17918,13355
"Davenport Water Pollution Control Plant","IA",50,0,157
"David City","NE",463,0,8
"Dayton (IA)","IA",23,0,1
"Dayton (MI)","MI",231,"--","--"
"De Pere Energy Center","WI",135921,1,81
"DeBary","FL",299424,88,158
"DeCordova Steam Electric Station","TX",224639,1,166
"DeRidder Mill","LA",116252,2554,1058
"DeSoto County Plant","FL",120231,4,44
"Dean","MI",57551,0,12
"Dean H Mitchell","IN",41,"--","--"
"Dearborn Industrial Generation","MI",704854,1,158
"Decatur Energy Center","AL",279554,2,74
"Decker Creek","TX",576639,3,448
"Decorative Panels Intl","MI",117658,214,151
"Deepwater","NJ",461987,2684,1029
"Deer Island Treatment Plant","MA",21337,3,7
"Deer Park Energy Center","TX",3504136,18,235
"Deercroft I & II LFGTE","IN","--",0,341
"Deerhaven Generating Station","FL",1680213,7623,3757
"Del Ranch Company","CA",8887,"--","--"
"Delano","MN",470,"--","--"
"Delaware City 10","DE",540,0,1
"Delaware City Plant","DE",117812,55,2443
"Delaware Generating Station","PA",4141,4,20
"Delray","MI",38936,0,14
"Delta","MS",57277,290,105
"Delta (CO)","CO",204,0,5
"Delta Energy Center","CA",2085678,10,126
"Delta Power","AK",148,"--","--"
"Demoss Petrie","AZ",17297,0,3
"Des Moines Wastewater Reclamation Fac","IA",3,0,389
"Desert Basin","AZ",954855,5,109
"Desert Peak Power Plant","NV",1298,"--","--"
"Desert Power LP","UT","--",0,1
"Desert Star Energy Center","NV",1280898,7,131
"Desert View Power","CA",33255,3,187
"Deshler","NE",28,0,0
"Detour","MI",497,"--","--"
"Detroit Lakes","MN",17,"--","--"
"Devon Station","CT",13529,1,12
"Devonshire Power Partners LLC","IL","--",0,398
"Diamond Walnut","CA","--",0,7
"Dickerson","MD",3318892,34263,5281
"Dicks Creek","OH",586,0,0
"Diesel Generators","WI",675,1,9
"Diesel Group 1","VA",1418,"--","--"
"Dighton Power Plant","MA",218349,1,24
"Dike City Power Plant","IA",23,"--","--"
"Dillard Complex","OR",457,35,310
"Dillingham","AK",13337,17,252
"Dixon Marquette","IL",13982,"--","--"
"Dixon/Lee Energy Partners LLC","IL","--",0,181
"Dogwood Energy Facility","MO",116046,1,18
"Dolet Hills","LA",5304819,21544,11893
"Dolphus M Grainger","SC",1102244,11697,2619
"Dome Project","CA",56120,0,82
"Dominguez Plant","CA",29607,0,33
"Dominion/Lo Mar","VA",1668,2,13
"Domino Sugar Arabi Plant","LA",108873,0,177
"Domino Sugar Baltimore","MD",183146,379,180
"Domtar Paper Co LLC Plymouth NC","NC",783315,5290,539
"Domtar Paper Company Rothschild","WI",90066,0,13
"Don Henry","NE",231,"--","--"
"Donald Von Raesfeld Power Plant","CA",180173,0,232
"Doreen","MA",517,0,1
"Doswell Energy Center","VA",835350,6,265
"Double C Generation Limited Partnership","CA",162020,1,575
"Douglas","AZ",330,1,2
"Dover","OH",101046,2035,241
"Dover Peaking","OH",729,0,5
"Dow St Charles Operations","LA",1183198,6,3187
"Downtown","VA",340,1,7
"Doyle Energy Facility","GA",14531,0,8
"Drews Generating Facility","CA",931,0,11
"Dubuque","IA",422929,1762,1773
"Duck Creek","IL",1509078,4657,1887
"Dunbarton Energy Partners LP","NH","--",0,95
"Dunkirk Generating Plant","NY",3356172,17960,3011
"Duraco Products","IL",1697,0,47
"Durant","IA",25,0,2
"Durgin & Crowell Lumber","NH",6577,7,104
"Dutch Harbor","AK",21646,28,402
"Dutchess Cnty Resource Recovery Facility","NY",55032,149,439
"Dynegy Morro Bay LLC","CA",168727,1,44
"Dynegy Moss Landing Power Plant","CA",2092983,11,139
"Dynegy Oakland Power Plant","CA",34418,3,92
"Dynegy South Bay Power Plant","CA",880179,7,89
"E B Harris Electric Generating Plant","AL",693870,3,176
"E C Gaston","AL",9996961,115811,23018
"E D Edwards","IL",4645634,31629,5930
"E F Barrett","NY",886902,628,1067
"E F Oxnard Energy Facility","CA",94225,1,284
"E J Stoneman Station","WI",84826,792,159
"E W Brown","KY",3441026,38892,5407
"EG178 Facility","TX",163636,"--","--"
"EKS Landfill","MN","--",0,279
"Eagle Mountain","TX",21259,0,25
"Eagle Point Power Generation","NJ","--",1,32
"Eagle Point Power Generation","NJ",103905,"--","--"
"Eagle River","WI",300,0,1
"Eagle Valley (IN)","IN",1584909,16158,3208
"Earl F Wisdom","IA",167923,1647,644
"Earlville","IA",26,0,1
"East 12th Street","KS",1078,4,15
"East Bend","KY",3531540,3326,3585
"East Bridgewater","MA","--",0,372
"East Hampton","NY",6341,9,22
"East Millinocket Mill","ME",116778,0,529
"East River","NY",1369143,380,933
"East Third Street Power Plant","CA",186309,30,118
"Eastern Correctional Institute","MD",1105,7,72
"Eastman Cogeneration Facility","TX",1137940,6,246
"Easton","MD",13024,15,219
"Easton 2","MD",18545,15,216
"Eastport","ME",67,0,2
"Eaton","MS",5971,0,14
"Ebensburg Power","PA",577042,1134,232
"Eckert Station","MI",1817657,5173,1987
"Eddystone Generating Station","PA",4016084,7869,5786
"Edenton Generators","NC",273,"--","--"
"Edge Moor","DE",1779953,8379,2871
"Edgecombe Genco LLC","NC",1079536,271,1752
"Edgerton","OH","--",0,1
"Edgewater","WI",4337373,15281,5501
"Edgewood Energy LLC","NY",94380,0,7
"Edward L. Addison Generating Plant","GA",54073,1,19
"Edwardsport","IN",375649,6479,1412
"Effingham County Power Project","GA",335157,2,52
"Eielson AFB Central Heat & Power Plant","AK",272894,546,604
"El Cajon","CA",723,0,6
"El Centro Hybrid","CA",289812,2,235
"El Segundo Cogen","CA",637689,3,1413
"El Segundo Power","CA",389950,1,22
"Electrifarm","IA",25768,4,79
"Elgin Energy Center LLC","IL",18877,0,10
"Elizabeth River Power Station","VA",16877,2,11
"Elk Basin Gasoline Plant","WY",32176,0,100
"Elk City Station","NE","--",0,305
"Elk Hills Cogen","CA",224110,1,645
"Elk Hills Power LLC","CA",1325661,7,76
"Elk Mound","WI",8710,0,3
"Elk River","MN",138350,11,667
"Elk River City of","MN",27721,0,2
"Elkton","VA",53422,0,24
"Ellinwood","KS",63,0,4
"Ellwood","CA",849,"--","--"
"Elmer Smith","KY",2160457,5284,6992
"Elmore Company","CA",8861,"--","--"
"Elmwood Park Power LLC","NJ",116898,2,73
"Elrama Power Plant","PA",1738863,2918,4251
"Elroy","WI",208,0,1
"Elwood Energy LLC","IL",288083,1,96
"Emerson","NE",8,"--","--"
"Emery Station","IA",653257,3,67
"Emmonak","AK",2086,3,40
"Emory Hillandale Hospital","GA",3,"--","--"
"Empire","NV",599,"--","--"
"Empire Energy Center","MO",73724,2,32
"Encina","CA",1158769,7,113
"Encina Water Pollution Control","CA",2603,0,155
"Encogen","WA",226688,2,1284
"Enderlin","ND","--",0,1
"Endicott Station","MI",480880,1399,642
"Energy Center Dover","DE",162351,0,388
"Energy Shelby County","IL",42321,0,36
"Engineered Carbons Borger Cogen","TX",1669,8,1943
"Engineered Carbons Echo Cogeneration","TX",2089,3,804
"Engle","OH",247,"--","--"
"Ennis Power Company LLC","TX",528583,2,118
"Entenmanns Energy Center","NY",13034,6,361
"Enterprise Products Operating","TX",162326,1,435
"Equilon Los Angeles Refining","CA",332780,1,596
"Equus Freeport Power","NY",66212,1,7
"Ergon Refining Vicksburg","MS",26189,0,33
"Erickson Station","MI",1041220,2817,1105
"Erie","KS",86,0,2
"Erie Coke","PA",7148,41,32
"Erie Energy Center","KS",536,1,12
"Escalante","NM",2067544,1173,3445
"Escanaba","MI",205073,2023,504
"Escanaba Mill","MI",563184,4619,1853
"Essential Power Massachusetts LLC","MA",124453,619,142
"Essential Power Newington LLC","NH",1049757,15,84
"Essential Power Rock Springs LLC","MD",192713,1,48
"Essex","MO",2554,0,2
"Essex Junction 19","VT",58,0,1
"Estherville","IA",122,0,3
"Etiwanda Generating Station","CA",459946,3,26
"Evander Andrews Power Complex","ID",8607,0,6
"Evanston Township High School","IL","--",0,28
"Everett Cogen","WA",19026,34,116
"Evonik Industries AG","IN",36,"--","--"
"Exelon Framingham LLC","MA",1250,0,5
"Exelon L Street","MA","--",3,14
"Exelon LaPorte Generating Station","TX",56572,30,75
"Exelon Medway LLC","MA",2180,0,10
"Exeter Energy LP","CT",226766,128,364
"Exira","IA",15390,"--","--"
"ExxonMobil Baton Rouge Cogen","LA","--",8,4167
"ExxonMobil Baton Rouge Turbine Generator","LA",485468,1,683
"ExxonMobil Baytown Refinery","TX",893263,4,2439
"ExxonMobil Baytown Turbine","TX",1673012,8,4567
"ExxonMobil Beaumont Refinery","TX",1262656,5,147
"ExxonMobil Hawkins Gas Plant","TX","--",0,116
"ExxonMobil Mobile Bay Onshore","AL",73819,0,108
"ExxonMobil Oil Joliet Refinery","IL","--",1,68
"ExxonMobil Santa Ynez Facility","CA",224091,1,621
"F B Culley","IN",2628094,5000,3058
"Faber Place","SC",24,"--","--"
"Factory","IL",185,"--","--"
"Fair Station","IA",413493,6926,622
"Fairbanks","AK",5009,24,26
"Fairbury","NE",2892,0,7
"Fairfax","MN",2,"--","--"
"Fairfield","IL",223,0,4
"Fairfield Works","AL",80816,20,73
"Fairgrounds","MO",973,3,14
"Fairhaven Power","CA",2480,29,102
"Fairless Energy Center","PA",855265,4,125
"Fairless Hills","PA",1241,2,20
"Fairmont (MN)","MN",3339,0,23
"Falling Spring","PA",4168,1,122
"Falls","PA",1568,1,5
"Falls City","NE",506,0,26
"False Island","AK",540,0,6
"Far Rockaway","NY",145480,1,105
"Faribault Energy Park","MN",72690,"--","--"
"Farmer City","IL",257,0,1
"Faulkton","SD",55,"--","--"
"Fayette","MO",34,"--","--"
"Fayette Energy Facility","PA",145354,1,20
"Fayette Power Project","TX",12498101,26492,6198
"Feather River Energy Center","CA",6169,0,1
"Fellsway Development LLC","MA",3221,4,55
"Fennimore","WI",385,1,7
"Fergus Control Ctr","MN",18,"--","--"
"Fermi","MI",1110,2,6
"Fernandina Beach Mill","FL",700892,6273,1855
"Fernandina Plant","FL",122524,2074,554
"Ferndale Generating Station","WA",235151,1,665
"FiberMark Warren Glen Mill","NJ",23866,0,35
"Field Street","FL",170,4,15
"Finch Paper","NY",224543,1467,596
"Finley Combustion Turbine Plant","WA",962,"--","--"
"FirstEnergy Albright","WV",1146126,15352,2264
"FirstEnergy Armstrong Power Station","PA",1882403,27811,3194
"FirstEnergy Ashtabula","OH","--",3789,1451
"FirstEnergy Ashtabula","OH",1443342,"--","--"
"FirstEnergy Bay Shore","OH",4138426,"--","--"
"FirstEnergy Bay Shore","OH","--",12732,6266
"FirstEnergy Bruce Mansfield","PA",17083234,"--","--"
"FirstEnergy Bruce Mansfield","PA","--",30049,21276
"FirstEnergy Eastlake","OH","--",67853,11077
"FirstEnergy Eastlake","OH",8109021,"--","--"
"FirstEnergy Edgewater","OH","--",0,37
"FirstEnergy Edgewater","OH",3235,"--","--"
"FirstEnergy Fort Martin Power Station","WV",6431668,75134,8245
"FirstEnergy Harrison Power Station","WV",12229692,4323,17568
"FirstEnergy Lake Shore","OH",1144050,"--","--"
"FirstEnergy Lake Shore","OH","--",2724,1682
"FirstEnergy Mad River","OH",4643,"--","--"
"FirstEnergy Mitchell Power Station","PA",1682380,1379,2213
"FirstEnergy Pleasants Power Station","WV",8324365,42823,8882
"FirstEnergy R E Burger","OH","--",34109,4861
"FirstEnergy R E Burger","OH",2045490,"--","--"
"FirstEnergy R Paul Smith Power Station","MD",430099,3048,836
"FirstEnergy Rivesville","WV",215331,1605,678
"FirstEnergy W H Sammis","OH",13557446,"--","--"
"FirstEnergy W H Sammis","OH","--",96676,22821
"FirstEnergy West Lorain","OH","--",1,96
"FirstEnergy West Lorain","OH",114838,"--","--"
"FirstEnergy Willow Island","WV",687501,4619,2291
"Fisk Street","IL",1448806,4188,1033
"Fitchburg","WI",4982,0,35
"Flint Creek","AR",3519611,7464,4198
"Flint River Operations","GA",22319,2250,605
"Flora Site A","IL",867,1,13
"Flora Site B","IL",578,1,9
"Florence","VT",1373,2,9
"Florence Mill","SC",606262,6616,515
"Florida Power Development","FL",754297,3152,1006
"Florida's Natural Growers","FL",37822,0,34
"Flos Inn Diesel","ME",22,"--","--"
"Ford Motor Co Rawsonville Plant","MI",10,"--","--"
"Ford Utilities Center","NM",28592,"--","--"
"Fore River Generating Station","MA",677974,4,43
"Forest City Light Plant","IA",656,1,14
"Forked River","NJ",32433,0,20
"Formosa Plastics","LA",337881,1,752
"Formosa Utility Venture Ltd","TX",2223121,14,6732
"Forney Energy Center","TX",2780541,14,908
"Fort Churchill","NV",525280,12,1697
"Fort Dodge","KS",182805,1,341
"Fort Greely Power Plant","AK",668,1,7
"Fort Lupton","CO",1181,1,18
"Fort Myers","FL",3773350,27,883
"Fort St Vrain","CO",1712693,9,350
"Fortistar North Tonawanda","NY",57851,1,36
"Foster Wheeler Martinez","CA",362233,2,1066
"Foster Wheeler Mt Carmel Cogen","PA",411318,464,249
"Fountain Valley Power Facility","CO",153444,1,135
"Four Corners","NM",15373820,11389,37869
"Fourche Creek Wastewater","AR",598,0,279
"Fox Energy Center","WI",150702,1,20
"Fox Lake","MN",58132,356,84
"Fox Metro Water Reclamation District","IL",24,0,2
"Fox Valley Energy Center","WI",193998,7,59
"Frank E Ratts","IN",1101390,13720,2454
"Frank Jenkins","MI",16,"--","--"
"Frank Knutson","CO",1309,0,4
"Frank M Tait","OH",5397,0,3
"Franklin (NE)","NE",30,0,3
"Franklin Drive","CT",166,0,1
"Franklin Heating Station","MN",76876,104,189
"Franklin/Grays","WA",652,0,49
"Frederic Diesel","WI",270,"--","--"
"Frederickson","WA",1160,4,19
"Frederickson Power LP","WA",254868,1,24
"Fredonia","KS",293,0,2
"Fredonia","WA",7951,0,22
"Freeburg","IL",671,0,3
"Freedom Power Project","IL",11171,0,2
"Freeport Energy","TX",3230591,16,8787
"Freeport McMoRan","NM",1745,1,39
"Freestone Energy Center","TX",1526898,8,408
"French Island","WI",45151,26,200
"Fresno Cogen Partners","CA",27576,0,2
"Frito-Lay Cogen Plant","CA",33565,0,59
"Front Range Power Plant","CO",797699,4,234
"Front Street","MA",1577,2,26
"Frontera Energy Center","TX",656122,3,240
"Frontier","OK",293973,0,114
"Fruita","CO","--",0,1
"Ft. Pierre","SD",42,"--","--"
"Fullerton","TX",10216,0,252
"Fulton (AR)","AR",926,0,5
"Fulton (MO)","MO",626,6,88
"Fulton Cogeneration Associates","NY",170,"--","--"
"Fuyao Glass Illinois Inc.","IL",100,"--","--"
"G E Turner","FL",34774,47,190
"G F Weaton Power Station","PA",587004,107,496
"G G Allen","NC",5972108,41209,7552
"G W Ivey","FL",26987,7,660
"GMMM Westover","NY",847029,10050,1341
"GREC","OK",7025820,16684,14086
"GRS American Canyon","CA","--",0,207
"GRS Arbor Hills","MI","--",1,183
"GRS C&C","MI","--",0,311
"GRS CMS","NC","--",0,78
"GRS Fall River","MA","--",0,249
"GRS Menlo Park","CA","--",0,253
"GRS Newby I","CA","--",0,218
"GRS Newby II","CA","--",0,232
"GRS Pine Bend","MN","--",1,135
"GRS Richmond","VA","--",0,192
"GRS Sunset Farms","TX","--",0,329
"Gabbs","NV",57,"--","--"
"Gadsby","UT",120501,0,31
"Gadsby","UT","--",0,6
"Gadsden","AL",576192,8477,1854
"Galena Electric Utility","AK",6724,9,133
"Galion","OH",213,0,2
"Galion Generating Station","OH",771,"--","--"
"Gallatin (MO)","MO",49,"--","--"
"Gallatin (TN)","TN",7193263,23497,7716
"Gallup Refinery","NM",618,0,34
"Gans","PA",39293,0,28
"Garden City","KS",21103,0,41
"Gardner Energy Center","KS",4658,0,9
"Garnett Municipal","KS",352,0,1
"Gary Works","IN",116492,156,227
"Gas Turbine (IA)","IA",65,"--","--"
"Gas Utilization Facility","CA","--",0,675
"Gastonia Duke Street","NC",93,0,4
"Gastonia Rankin Lake","NC",93,0,4
"Gastonia, Tulip Drive","NC",37,"--","--"
"Gates Peaker","CA",5744,0,6
"Gateway Gen","VA",177,0,4
"Gavin Power, LLC","OH",17574473,25371,35113
"Gaviota Oil Plant","CA",29337,0,123
"Gay Robinson","HI",8,0,3
"Gaylord - Consumers","MI",13043,0,28
"Gaylord - Wolverine","MI",3385,0,6
"Gaylord Container Antioch","CA","--",0,115
"Gaylord Container Bogalusa","LA",128051,3490,1941
"Geismar","LA",366870,4,1856
"General Chemical","WY",1260249,6248,1136
"General Electric Aircraft Engines","MA",175952,789,145
"General Electric Diesel Engine Plant","PA",22109,"--","--"
"General Electric Erie PA Power","PA",4747,"--","--"
"General Electric Plastic","AL",324920,2,74
"General Mills Inc","NY",4717,0,32
"General Mills Operations Lodi","CA",13023,0,48
"General Mills West Chicago","IL",1,"--","--"
"Genesee Power Station LP","MI","--",48,293
"Geneseo","IL",635,0,12
"Genoa","WI",2067826,11859,3400
"Genoa Diesel Generating Station","OH",449,"--","--"
"Geo East Mesa II","CA",1600,"--","--"
"Geo East Mesa III","CA",1576,"--","--"
"George Birdsall","CO",839,0,2
"George Johnson","MI",20450,0,47
"George M Sullivan Generation Plant 2","AK",570813,3,1568
"George Neal North","IA",6385328,21994,12939
"George Neal South","IA",4013327,12850,6141
"Georgetown","IN",13550,0,15
"Georgia Pacific Center","GA",6,"--","--"
"Georgia-Pacific Big Island","VA",223183,131,61
"Georgia-Pacific Brewton Mill","AL",181950,3859,1726
"Georgia-Pacific Cedar Springs","GA",659793,12124,1852
"Georgia-Pacific Consr Prods LP-Naheola","AL",305135,4493,1548
"Georgia-Pacific Corp - Nekoosa Mill","WI",320442,4153,1033
"Georgia-Pacific Crossett LLC","AR",113152,3204,1515
"Georgia-Pacific Monticello Paper","MS",182772,3163,1727
"Georgia-Pacific Palatka Operations","FL",315915,6429,1372
"Georgia-Pacific Port Hudson","LA",285836,6123,1427
"Georgia-Pacific Wauna Mill","OR",79274,0,78
"Geothermal 1","CA",13501,"--","--"
"Geothermal 2","CA",10680,"--","--"
"Gerald Andrus","MS",622954,3084,3513
"Gerald Gentleman","NE",9591836,25557,20488
"Germantown","WI",59435,1,16
"Geysers Unit 5-20","CA",121903,"--","--"
"Ghent","KY",12213541,45528,12618
"Gianera","CA",206,0,2
"Gibbons Creek","TX",3448754,10647,2096
"Gibson","IN",20858143,139921,27473
"Gibson City Energy Center LLC","IL",38785,0,19
"Gila River Power Block 4","AZ",1784237,9,1030
"Gilbert","NJ",114997,8,126
"Gillette SBMC","MA",81197,124,107
"Gilliam South","IA",20,0,1
"Gillum","IL",1,"--","--"
"Gilman Mill","VT","--",0,4
"Gilroy Peaking Energy Center","CA",27073,0,5
"Gilroy Power Plant","CA",51043,0,25
"Girard","KS",2121,0,20
"Girvin Landfill","FL","--",0,99
"Gladstone","MI",8334,21,84
"Glen Gardner","NJ",9921,0,15
"Glen Lyn","VA",1569872,11251,3619
"Glenarm","CA",17867,"--","--"
"Glencoe","MN",658,1,9
"Glendive GT","MT",7791,0,3
"Glennallen","AK",9151,11,163
"Glenns Ferry Cogen Facility","ID",42861,0,76
"Glenwood","NY",153355,1,163
"Goal Line LP","CA",112811,1,360
"Godwin Drive Plant","VA",773,1,15
"Goldendale Generating Station","WA",379241,2,33
"Goodland","KS",1351,0,16
"Goodyear Beaumont Chemical Plant","TX",539252,16,843
"Goodyear Power Plant","OH",260395,5917,727
"Goose Creek Energy Center","IL",41467,0,9
"Goose Haven Energy Center","CA",5594,0,1
"Gordon Evans Energy Center","KS",645495,5750,1766
"Gordonsville Energy LP","VA",201898,4,63
"Gorgas","AL",7481961,76258,11745
"Gould Electronics Foil Division","AZ","--",0,13
"Gowanus Gas Turbines Generating","NY",241807,0,761
"Gowrie","IA",21,0,2
"Graettinger","IA",11,"--","--"
"Grafton","ND",9,"--","--"
"Graham","TX",280922,45,572
"Gramercy Holdings LLC","LA",728376,2,788
"Grand Blanc Generating Station","MI","--",0,336
"Grand Forks","ND",161,0,2
"Grand Haven Diesel Plant","MI",723,1,6
"Grand Isle Gas Plant / Treating Station","LA","--",0,61
"Grand Junction","IA",10,0,1
"Grand Marais","MN",239,0,4
"Grand River","MI","--",0,332
"Grand Tower Energy Center LLC","IL",126483,1,99
"Granite City","MN",1928,1,89
"Granite Ridge","NH",1539874,8,116
"Grant Town Power Plant","WV",870062,1721,137
"Grantsburg Diesel","WI",85,"--","--"
"Graphic Packaging","MI",153945,645,72
"Graphic Packaging International","CA",132163,1,280
"Graphic Packaging International Augusta Mill","GA",599691,6206,2623
"Gravel Neck","VA",91018,0,89
"Grayling Generating Station","MI",15982,237,329
"Grays Ferry Cogeneration","PA",424266,3,192
"Grayson","CA",80003,1,26
