"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2005&tab=annual_emissions&pin=&rse=0&maptype=0&ltype=pin&ctype=linechart&end=201710&start=200101"
"Tue Mar 17 2020 23:19:44 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Apache Station","AZ",2942531,2410,6977
"Apex Generating Station","NV",722952,4,107
"Apogee Technology Inc","MI",11,"--","--"
"Arapahoe","CO",914519,2188,2120
"Arapahoe Combustion Turbine Project","CO",108464,1,22
"Arcadia Electric","WI",1101,1,25
"Arcanum","OH",40,0,1
"Arcanum Peaking","OH",75,0,3
"ArcelorMittal Burns Harbor","IN",85295,52,2273
"ArcelorMittal Indiana Harbor West","IN",141076,28,6965
"ArcelorMittal Warren","OH",111964,908,229
"Arcelormittal Cleveland Inc","OH",36616,112,59
"Archbald Power Station","PA","--",0,13
"Archbald Power Station","PA",22763,0,5
"Archer Daniels Midland Cedar Rapids","IA",1933168,2579,1550
"Archer Daniels Midland Clinton","IA",626935,7410,2322
"Archer Daniels Midland Decatur","IL",3702568,9470,3675
"Archer Daniels Midland Des Moines","IA",109651,50,106
"Archer Daniels Midland Lincoln","NE",149295,58,122
"Archer Daniels Midland Little Rock","AR",4652,0,90
"Archer Daniels Midland Mankato","MN",128659,57,90
"Archer Daniels Midland Peoria","IL",586567,6315,3
"Archer Daniels Midland Southport","NC",11366,2,8
"Argus Cogen Plant","CA",1473272,448,1378
"Argyle","WI",78,0,1
"Arlington Valley Energy Facility","AZ",524678,3,47
"Armstrong","PA",111439,2,32
"Arnold","NE",37,"--","--"
"Arsenal Hill","LA",84379,0,98
"Arthur Kill Generating Station","NY",826523,4,621
"Arthur Von Rosenberg","TX",807316,4,2201
"Arvada","WY",611,0,16
"Arvah B Hopkins","FL",573423,1520,869
"Asbury","MO",1489345,10855,5019
"Asbury Park Press","NJ",4023,0,89
"Ascend Performance Materials Texas Inc.","TX",291156,1,325
"Ascutney","VT",590,1,4
"Ashdown","AR",493787,28641,7823
"Asheville","NC",2312779,14103,4343
"Ashland","KS",169,0,1
"Ashland Inc","MO",254100,6248,643
"Ashtabula","OH",176693,1,512
"Astoria Gas Turbines","NY",296360,14,1316
"Astoria Generating Station","NY",3362212,3887,3581
"Atascosita","TX","--",0,687
"Athens Generating Plant","NY",1090283,6,101
"Athens Regional Medical Center","GA",13,"--","--"
"Atlantic","IA",249,0,1
"Attala","MS",968039,4,82
"Attica","KS",146,0,4
"Auburn","NE",829,"--","--"
"Auburn State Street","NY",179,0,1
"Auburndale Peaker Energy Center","FL",4657,0,17
"Audrain Generating Station","MO",20284,0,5
"Augusta Electric Plant No 2","KS",5195,0,64
"Aurora","IL",172432,1,69
"Aurora Energy LLC Chena","AK",278673,586,607
"Austin Downtown","MN",3845,0,7
"Austin Northeast","MN",139884,2280,432
"Avenue A Generator Sets","IL",409,"--","--"
"Avon Energy Partners LLC","IL","--",0,169
"Avon Lake","OH",3308502,38576,6249
"Avon Park","FL",19005,7,66
"Axiall Natrium Plant","WV",932981,9069,640
"Axiall Plaquemine","LA",1082035,6,3283
"B Braun Medical","CA",36253,"--","--"
"B C Cobb","MI",2023439,11214,2771
"B E Morrow","MI",1215,0,1
"B L England","NJ",1370919,8764,3674
"BASF Freeport Works","TX",378823,2,866
"BCP","CO",147073,1,455
"BJ Gas Recovery","GA","--",0,239
"BP Naperville Cogeneration Facility","IL",2408,"--","--"
"Baconton Power Plant","GA",8393,0,7
"Badger Creek Limited","CA",175588,1,487
"Bailly","IN",2723845,4282,11187
"Baldwin City Plant No 1","KS",59,0,1
"Baldwin City Plant No 2","KS",293,0,1
"Baldwin Energy Complex","IL",12255168,21781,4422
"Balefill LFG Project","NJ","--",0,194
"Bancroft","IA",15,"--","--"
"Bank of America Plaza","GA",51,0,1
"Baptist Medical Center","FL",54533,0,145
"Bar Harbor","ME",408,1,8
"Barber Creek","WY",119,0,23
"Barney M Davis","TX",505376,3,664
"Barre","MA","--",0,65
"Barron","WI",241,"--","--"
"Barrow","AK",36710,0,176
"Barry","AL",12412371,48674,17462
"Bassett Medical Center","NY",127,0,2
"Bassett Table","VA","--",0,2
"Bastrop Energy Center","TX","--",3,215
"Bastrop Energy Center","TX",570723,"--","--"
"Batavia Power Plant","NY",25370,0,25
"Batesville Generation Facility","MS",759931,4,220
"Battle Mountain","NV",86,"--","--"
"Bavarian LFGTE","KY","--",0,309
"Baxter Wilson","MS",1212935,4261,4529
"Bay County Waste to Energy","FL",68477,118,353
"Bay Front","WI",321193,1085,1384
"Bayboro","FL",55679,76,305
"Baylor University Cogen","TX",25002,0,66
"Bayonne Plant Holding LLC","NJ",120114,1,39
"Bayou Cogen Plant","TX",1349566,7,3820
"Bayou Cove Peaking Power","LA",1803,"--","--"
"Bayswater Peaking Facility LLC","NY",43742,6,8
"Baytown","TX","--",0,288
"Baytown Energy Center","TX",1781482,9,177
"Bayview","VA",8627,5,67
"Bayville Central Facility","NJ",6,0,70
"Bear Canyon Power Plant","CA",3209,"--","--"
"Bear Mountain Limited","CA",163723,1,496
"Bear Valley Power Plant","CA",1261,"--","--"
"Beatrice","NE",122558,1,19
"Beaver","OR",100005,12,373
"Beaver City","NE",63,0,1
"Beaver Creek Gas Plant","WY",25954,0,66
"Beaver Island","MI","--",0,2
"Belews Creek","NC",12970462,87828,18524
"Belle River","MI",8138673,22214,7425
"Belle West Virginia Plant","WV",48409,0,11
"Bellefonte","AL","--",1,12
"Belleville","KS",124,0,1
"Bellevue","IA",52,0,1
