"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2002&tab=annual_emissions&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Tue Mar 17 2020 23:20:43 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Archer Daniels Midland Clinton","IA",1592142,6795,1854
"Archer Daniels Midland Decatur","IL",3754055,8056,2724
"Archer Daniels Midland Des Moines","IA",132964,"--","--"
"Archer Daniels Midland Fredonia","KS",7648,0,25
"Archer Daniels Midland Lincoln","NE",131044,1155,1001
"Archer Daniels Midland Little Rock","AR",11005,0,260
"Archer Daniels Midland Mankato","MN",121436,"--","--"
"Archer Daniels Midland Peoria","IL",607333,6733,930
"Archer Daniels Midland Southport","NC",1767,0,3
"Argus Cogen Plant","CA",1462651,239,1401
"Argyle","WI",46,0,1
"Arkwright","GA",155897,0,14
"Arlington Valley Energy Facility","AZ",368521,1,30
"Armstrong","PA",115708,1,28
"Arnold","NE",25,0,1
"Arsenal Hill","LA",75209,0,76
"Art Institute of Chicago","IL",14,"--","--"
"Arthur Kill Generating Station","NY",758455,4,536
"Arthur Von Rosenberg","TX",539573,3,1482
"Arvada","WY",8637,0,27
"Arvah B Hopkins","FL",464218,209,731
"Asbury","MO",1239297,3946,5597
"Asbury Park Press","NJ",4113,0,94
"Ascend Performance Materials Texas Inc.","TX",187551,1,374
"Ascutney","VT",1148,2,6
"Ashdown","AR",713028,4872,3250
"Asheville","NC",2390043,15160,4706
"Ashland","KS",76,0,2
"Ashland Inc","MO",261895,5566,670
"Astoria Gas Turbines","NY",193140,0,537
"Astoria Generating Station","NY",2083093,1173,2257
"Atascosita","TX","--",0,11
"Atkinson","GA",2140,1,8
"Atlantic","IA",192,0,1
"Attala","MS",529887,"--","--"
"Auburn","NE",2314,0,54
"Auburn State Street","NY",248,0,1
"Audrain Generating Station","MO",22030,0,4
"Augusta Electric Plant No 1","KS",455,0,10
"Augusta Electric Plant No 2","KS",3595,1,83
"Auke Bay","AK",2994,4,17
"Aurora","IL",121667,1,59
"Aurora Energy LLC Chena","AK",253196,2597,1891
"Austin Downtown","MN",2482,0,6
"Austin Northeast","MN",149006,1816,369
"Austin State Hospital","TX",1541,0,4
"Avon Energy Partners LLC","IL","--",0,194
"Avon Lake","OH",4070764,41721,16401
"Avon Park","FL",23873,12,87
"Axiall Natrium Plant","WV",1178676,11258,420
"Axiall Plaquemine","LA",1196123,7,3859
"B Braun Medical","CA",35846,0,99
"B C Cobb","MI",2033682,11382,2955
"B E Morrow","MI",343,0,1
"B L England","NJ",1288674,10997,3372
"BASF Freeport Works","TX",403502,"--","--"
"BCP","CO",144541,0,43
"BJ Gas Recovery","GA","--",0,245
"BP Chemicals Green Lake Plant","TX",60077,18,3293
