"Plants for all sectors,United States,multiple fuel types"
"https://www.eia.gov/beta/electricity/data/browser/#/topic/1?agg=2,0,1&fuel=vtvv&sec=g&geo=g&freq=A&datecode=2002&tab=annual_emissions&start=200101&end=201710&ctype=linechart&ltype=pin&maptype=0&rse=0&pin="
"Tue Mar 17 2020 23:20:43 GMT-0400 (Eastern Daylight Time)"
"Source: U.S. Energy Information Administration"
"Plant Name","State","CO2 Emissions (tons)","SO2 Emissions (tons)","NOX Emissions (tons)"
"Concord Cogen","CA",10990,0,260
"Conemaugh","PA",12007006,5385,17655
"Conesville","OH",9719003,122948,24185
"Conners Creek","MI",43641,0,46
"Connersville","IN",466,1,3
"Conoco","OK",193121,9,459
"Consumer Operations LLC","WI",1187833,13291,3655
"Contra Costa","CA",1050333,5,227
"Coolwater","CA",823152,5,862
"Coon Rapids II","IA",40,0,1
"Cooper","KY",1999660,20605,4328
"Coopersville","MI","--",0,496
"Cope","SC",2458166,1705,3774
"Copper","TX",17487,0,48
"Coralville GT","IA",229,0,1
"Cordova Energy","IL",343697,2,41
"Cornell University Central Heat","NY",154830,1955,918
"Corning","IA",64,0,1
"Corona Energy Partners, Ltd","CA",166001,1,465
"Coronado","AZ",4954917,16082,10825
"Corpus Christi","TX",229685,0,45
"Corpus Christi Energy Center","TX",98971,1,66
"Corpus Refinery","TX",216079,1127,552
"Cos Cob","CT",1800,0,16
"Cosmo Specialty Fibers Plant","WA",39246,281,400
"Coso Energy Developers","CA",18681,"--","--"
"Coso Finance Partners","CA",19971,"--","--"
"Coso Power Developers","CA",19894,"--","--"
"Coughlin Power Station","LA","--",7,622
"Countyside Genco LLC","IL","--",0,463
"Covanta Alexandria/Arlington Energy","VA",127367,15,547
"Covanta Babylon Inc","NY",91600,9,337
"Covanta Bristol Energy","CT",93199,9,313
"Covanta Delano Energy","CA","--",4,119
"Covanta Delaware Valley","PA",424054,915,2414
"Covanta Essex Company","NJ",402857,39,1416
"Covanta Fairfax Energy","VA",460943,46,1691
"Covanta Haverhill","MA",237109,24,1014
"Covanta Hempstead","NY",373754,40,1461
"Covanta Hennepin Energy","MN",151898,16,656
"Covanta Indianapolis Energy","IN",299168,574,1511
"Covanta Lake County Energy","FL",71846,7,275
"Covanta Marion Inc","OR",67498,8,296
"Covanta Mendota","CA","--",20,54
"Covanta Niagara I, LLC","NY",294548,33,1
"Covanta Plymouth Renewable Energy","PA",168868,18,541
"Covanta Southeastern Connecticut Company","CT",104623,11,572
"Covanta Stanislaus Energy","CA",105553,11,331
"Covanta Tulsa Renewable Energy LLC","OK",1,15,543
"Covanta Wallingford Energy","CT",63924,6,198
"Covanta Warren Energy","NJ",54340,6,235
"Covington Facility","VA",243520,5100,3855
"Cox Waste to Energy","KY","--",4,35
"Coyote","ND",3442031,12763,11951
"Coyote Springs","OR",496327,3,66
"Craig (AK)","AK",2373,4,47
"Craig (CO)","CO",9795229,9427,17582
"Craven County Wood Energy LP","NC","--",63,356
"Crawford","IL",2457168,6891,2585
"Crawfordsville Power Plant","IN",31550,351,77
"Crestwood Dothan","AL",516,0,7
"Crete","NE",1818,0,41
"Crete Energy Venture LLC","IL",20694,0,4
"Crisfield","MD",3236,5,65
"Crisp Plant","GA",5097,0,4
"Crist","FL",4567807,38918,12370
"Crockett Cogen Project","CA",764993,4,1819
"Cromby Generating Station","PA",658020,3326,1285
"Cross","SC",7207572,12788,14311
"Croswell","MI",69,0,1
"Crotched Mountain Rehabilitation Center","NH",2255,4,47
"Croydon CT Generating Station","PA",50273,13,255
"Crozer Chester Medical Center","PA",11467,2,296
"Crystal Mountain","WA",60,0,1
"Crystal River","FL",13126969,88640,31806
"Cudjoe","FL",1513,2,30
"Cumberland (NJ)","NJ",31447,153,19
"Cumberland (TN)","TN",14987642,15115,45308
"Cumberland (WI)","WI",491,1,10
"Cunningham","NM",724652,4,1195
"Curtis","NE",190,0,4
"Cushing","OK",891,0,22
"Custer Energy Center","WI",292,0,1
"Cutler","FL",208887,1,161
"Cutrale Citrus Juices USA I","FL",23023,0,62
"Cutrale Citrus Juices USA II","FL",36367,0,97
"Cuyamaca Peak Energy Plant","CA",16344,0,1
"Cymric 31X Cogen","CA",60284,0,156
"Cymric 36W Cogen","CA",111303,1,312
"Cymric 6Z Cogen","CA",55922,0,157
"D B Wilson","KY",3124134,8068,7726
"D G Hunter","LA",7025,0,24
"DFW Gas Recovery","TX","--",0,73
"DG Whitefield LLC","NH","--",24,116
"DSM Pharmaceuticals","NC",1991,2,17
"DTE Pontiac North LLC","MI",162,0,1
"Dahlberg","GA",107912,"--","--"
"Dahlberg","GA",88797,4,563
"Dale","KY",1298423,6717,1794
"Dallman","IL",1865321,3101,7285
"Dan E Karn","MI",3954222,19428,7780
"Dan River","NC",533471,2675,1247
"Dan River Power Plant","VA",139343,1343,744
"Danbury Diesel","WI",42,"--","--"
"Dane County Landfill #2 Rodefeld","WI","--",0,167
"Dansby","TX",167422,1,175
"Danskammer Generating Station","NY",2172580,10995,4432
"Darby Power, LLC","OH",66991,0,21
"Darbytown","VA",28276,7,90
"Darlington County","SC",77374,2,40
"Dartmouth College Heating Plant","NH",59154,349,107
"Dartmouth Power Associates LP","MA",198932,1,51
"Dave Johnston","WY",6358076,18124,13625
"Davenport Water Pollution Control Plant","IA",958,0,97
"David City","NE",528,1,11
"Dayton (IA)","IA",4,"--","--"
"Dayton (MI)","MI",65,0,1
"De Pere Energy Center","WI",88766,0,67
"DeBary","FL",424859,161,223
"DeCordova Steam Electric Station","TX",1325530,10,5108
"DeRidder Mill","LA",254087,2076,1167
"DeSoto County Plant","FL",104673,9,44
"Dean","MI",68537,0,5
"Dean H Mitchell","IN",41830,116,46
"Dearborn Industrial Generation","MI",706494,0,8
"Decatur Energy Center","AL",259719,2,32
"Decker Creek","TX",995507,6,771
"Decorative Panels Intl","MI",8004,56,40
"Deepwater","NJ",380909,2231,930
"Deepwater","TX",21291,0,29
"Deer Island Treatment Plant","MA",8358,3,11
"Deercroft I & II LFGTE","IN","--",0,295
"Deerhaven Generating Station","FL",1482559,6799,3278
"Deferiet New York","NY",228230,"--","--"
"Del Ranch Company","CA",9131,"--","--"
"Delano","MN",156,0,3
"Delaware City 10","DE",2463,0,7
"Delaware City Plant","DE",809974,940,2694
"Delaware Generating Station","PA",150745,365,262
"Delray","MI",40705,0,16
"Delta","MS",74168,25,180
"Delta (CO)","CO",198,0,5
"Delta Energy Center","CA",1098750,3,1773
"Demoss Petrie","AZ",39627,0,8
"Des Moines Wastewater Reclamation Fac","IA",22539,0,955
"Desert Basin","AZ",1329940,7,126
"Desert Power LP","UT",58823,0,143
"Desert Star Energy Center","NV",1264078,7,120
"Desert View Power","CA",16178,14,264
"Deshler","NE",28,0,1
"Detroit Lakes","MN",37,"--","--"
"Devon Station","CT",337664,294,303
"Devonshire Power Partners LLC","IL","--",0,341
"Diamond Walnut","CA","--",1,18
"Dickerson","MD",3065010,30764,6696
"Dicks Creek","OH",50,"--","--"
"Dighton Power Plant","MA",241861,1,33
"Dillard Complex","OR",17937,31,313
"Dillingham","AK",525,1,10
"District 100 Transco Gas Pipe Line","AL",7376,"--","--"
"District 70 Transco Gas Pipe Line","MS",5118,"--","--"
"Division","CA",1320,2,7
"Dixon Marquette","IL",21097,0,499
"Dixon/Lee Energy Partners LLC","IL","--",0,252
"Dogwood Energy Facility","MO",399479,2,60
"Dolet Hills","LA",4938437,15395,9408
"Dolphus M Grainger","SC",930281,9048,2782
"Dome Project","CA",47543,0,122
"Dominguez Plant","CA",33402,0,82
"Dominion/Lo Mar","VA",1817,3,36
"Domino Sugar Arabi Plant","LA",95124,1,248
"Domino Sugar Baltimore","MD",135605,75,152
"Domtar Kingsport Mill","TN",101275,1615,850
"Domtar Paper Co LLC Plymouth NC","NC",656269,4207,2046
"Don Henry","NE",1215,0,3
"Doreen","MA",86,0,2
"Doswell Energy Center","VA",609435,1,19
"Double C Generation Limited Partnership","CA",216981,1,608
"Douglas","AZ",1394,2,8
"Dover","OH",95722,1840,226
"Dow St Charles Operations","LA",1217147,"--","--"
"Downtown","VA",435,1,9
"Doyle Energy Facility","GA",142872,1,55
"Drews Generating Facility","CA",12702,0,35
"Dubuque","IA",429934,1744,1700
"Duck Creek","IL",1978702,10002,4833
"Dunbarton Energy Partners LP","NH","--",0,101
"Dunkirk Generating Plant","NY",3046732,47090,5544
"Duraco Products","IL",1947,0,46
"Durango Georgia Paper","GA",81479,9062,1233
"Durant","IA",72,0,1
"Durgin & Crowell Lumber","NH",5857,9,115
"Dutch Harbor","AK",18581,28,370
"Dutchess Cnty Resource Recovery Facility","NY",60684,7,349
"Dynegy Morro Bay LLC","CA",823524,4,257
"Dynegy Moss Landing Power Plant","CA",2970851,15,538
"Dynegy Oakland Power Plant","CA",10264,16,57
"Dynegy South Bay Power Plant","CA",718752,19,89
"E C Gaston","AL",11360782,115878,26463
"E D Edwards","IL",3422155,32431,8025
"E F Barrett","NY",1116633,279,1202
"E F Oxnard Energy Facility","CA",115553,1,312
"E J Stoneman Station","WI",18146,218,33
"E S Joslin","TX",67778,0,163
"E W Brown","KY",3830113,42280,7189
"EKS Landfill","MN","--",0,329
"Eagle Mountain","TX",657966,6,848
"Eagle Point Power Generation","NJ",502621,2,371
"Eagle River","WI",404,1,8
"Eagle Valley (IN)","IN",1466029,15619,4077
"Earl F Wisdom","IA",26986,317,100
"Earlville","IA",40,0,1
"East 12th Street","KS",2503,0,6
"East Bend","KY",2957772,11719,4949
"East Bridgewater","MA","--",0,147
"East Hampton","NY",35632,0,73
"East Millinocket Mill","ME",86671,1109,578
"East River","NY",549288,451,1368
"East Texas Gas Plant","TX",20,"--","--"
"East Third Street Power Plant","CA",176392,26,110
"East Vealmoor Gas Plant","TX",11977,0,298
"Eastern Correctional Institute","MD",1089,2,25
"Eastman Cogeneration Facility","TX",1376589,7,336
"Easton","MD",11880,18,236
"Easton 2","MD",10327,41,185
"Eastport","ME",66,0,1
"Eaton","MS",24048,0,56
"Ebensburg Power","PA",481479,42,248
"Eckert Station","MI",1833361,5953,3181
"Eddystone Generating Station","PA",3028457,6095,4447
"Edenton Generators","NC",256,0,5
"Edge Moor","DE",1786286,9550,3004
"Edgecombe Genco LLC","NC",961251,244,1601
"Edgewater","WI",4663580,15817,7939
"Edgewood Energy LLC","NY",37062,0,8
"Edward L. Addison Generating Plant","GA",258462,3,70
"Edwardsport","IN",466694,7419,1746
"Eielson AFB Central Heat & Power Plant","AK",279464,454,661
"El Cajon","CA",1138,0,4
"El Centro Hybrid","CA",268051,1,277
"El Segundo Cogen","CA",650278,"--","--"
"El Segundo Power","CA",1310319,3,102
"Electric Junction","IL",19735,0,55
"Electrifarm","IA",34430,0,94
"Elgin Energy Center LLC","IL",18618,"--","--"
"Elizabeth River Power Station","VA",49743,4,148
"Elizabethtown Power LLC","NC",19080,1221,848
"Elk Basin Gasoline Plant","WY",6159,0,15
"Elk Hills Cogen","CA",201,0,1
"Elk Mound","WI",4396,0,3
"Elk River","MN",138971,12,644
"Elk River City of","MN",87,0,2
"Elkton","VA",59070,3,134
"Ellinwood","KS",218,0,5
"Ellwood","CA",3821,0,10
"Elmer Smith","KY",2218911,6453,8672
"Elmore Company","CA",8231,"--","--"
"Elmwood Park Power LLC","NJ",274347,2,182
"Elrama Power Plant","PA",2458942,4895,7329
"Elroy","WI",58,0,1
"Elwood Energy LLC","IL",304832,2,95
"Emerson","NE",19,"--","--"
"Emmonak","AK",1861,3,38
"Emory Decatur Hospital","GA",16,"--","--"
"Empire","NV",647,"--","--"
"Empire Energy Center","MO",15388,0,43
"Encina","CA",1419217,35,249
"Encina Water Pollution Control","CA",2598,0,139
"Encogen","WA",442103,12,1162
"Enderlin","ND","--",1,14
"Endicott Station","MI",395449,1009,548
"Energy Center Dover","DE","--",0,445
"Energy Shelby County","IL",68071,0,47
"Engineered Carbons Borger Cogen","TX",7783,7,1887
"Engineered Carbons Echo Cogeneration","TX",697,1,156
"Engle","OH",424,1,8
"Enid","OK",41556,0,116
"Ennis Power Company LLC","TX",506009,2,116
"Entenmanns Cogeneration Facility","IL",1916,"--","--"
"Entenmanns Energy Center","NY",17488,6,393
"Enterprise Products Operating","TX",162101,1,452
"Equilon Los Angeles Refining","CA",316631,1,341
"Ergon Refining Vicksburg","MS",27518,0,75
"Erickson Station","MI",788431,3508,1701
"Erie","KS",38,0,1
"Erie Coke","PA",14033,14,11
"Erie Energy Center","KS",639,1,12
"Erving Paper Mills","MA",30844,180,55
"Escalante","NM",1713051,1081,3148
"Escanaba","MI",127153,1230,341
"Escanaba Mill","MI",521710,5156,1787
"Escondido Energy Center","CA",4003,0,1
"Essential Power Massachusetts LLC","MA",36305,108,82
"Essex","MO",6323,0,14
"Essex Junction 19","VT",61,0,1
"Estherville","IA",128,0,3
"Etiwanda Generating Station","CA",542631,3,113
"Evander Andrews Power Complex","ID",26096,0,24
"Evangeline Power Station","LA",1373339,7,3747
"Evanston Township High School","IL",2489,0,57
"Everett Cogen","WA",23131,30,108
"Evonik Industries AG","IN",2,"--","--"
"Exelon Framingham LLC","MA",3536,0,19
"Exelon LaPorte Generating Station","TX",15786,5,12
"Exelon Medway LLC","MA",3871,0,22
"Exeter Energy LP","CT",246460,143,404
"ExxonMobil Baton Rouge Cogen","LA",873882,2,1171
"ExxonMobil Baton Rouge Turbine Generator","LA",237930,0,134
"ExxonMobil Baytown Refinery","TX",944960,5,2868
"ExxonMobil Baytown Turbine","TX",979989,5,2698
"ExxonMobil Beaumont Refinery","TX",1639243,8,3996
"ExxonMobil Garden City Gas Plant","LA",61,"--","--"
"ExxonMobil Hawkins Gas Plant","TX",23173,"--","--"
"ExxonMobil Mobile Bay Onshore","AL",44218,0,115
"ExxonMobil Oil Joliet Refinery","IL",11386,1,195
"ExxonMobil Santa Ynez Facility","CA",189664,1,478
"F B Culley","IN",2239474,6458,5732
"F J Gannon","FL",5859101,48007,22166
"Faber Place","SC",112,"--","--"
"Factory","IL",156,0,1
"Fair Station","IA",353072,5090,441
"Fairbanks","AK",2301,11,11
"Fairbury","NE",1773,0,1
"Fairfax","MN",2,"--","--"
"Fairfield","IL",745,1,15
"Fairfield Works","AL",164912,24,783
"Fairgrounds","MO",1705,3,9
"Fairhaven Power","CA",7033,32,117
"Fairmont (MN)","MN",1423,0,12
"Falling Spring","PA",1239,0,30
"Falls","PA",7324,9,30
"Falls City","NE",1522,0,36
"Far Rockaway","NY",239131,1,136
"Farmer City","IL",175,0,4
"Fayette Power Project","TX",11604520,28847,17344
"Fellsway Development LLC","MA",3051,5,60
"Fennimore","WI",222,0,4
"Fermi","MI",1299,2,6
"Fernandina Beach Mill","FL",599788,5815,1820
"Fernandina Plant","FL",150185,2356,673
"Ferndale Generating Station","WA",577335,0,6
"FiberMark Warren Glen Mill","NJ",34434,0,80
"Field Street","FL",568,1,3
"Finch Paper","NY",222088,257,414
"Finley Combustion Turbine Plant","WA",7417,0,1
"FirstEnergy Albright","WV",1448332,18652,4239
"FirstEnergy Armstrong Power Station","PA",2012183,29484,3745
"FirstEnergy Ashtabula","OH",1387685,7673,2672
"FirstEnergy Bay Shore","OH",2631777,12320,7636
"FirstEnergy Bruce Mansfield","PA",15010863,27499,27097
"FirstEnergy Eastlake","OH",6462564,61195,19136
"FirstEnergy Edgewater","OH",74793,42,178
"FirstEnergy Fort Martin Power Station","WV",7066288,82663,10193
"FirstEnergy Harrison Power Station","WV",11929057,7885,25972
"FirstEnergy Lake Shore","OH",964722,2225,1335
"FirstEnergy Mad River","OH",1474,2,8
"FirstEnergy Mitchell Power Station","PA",1273672,1056,2064
"FirstEnergy Pleasants Power Station","WV",7139340,38020,12442
"FirstEnergy R E Burger","OH",1949152,32163,6131
"FirstEnergy R Paul Smith Power Station","MD",539142,4162,1142
"FirstEnergy Rivesville","WV",473696,4003,1839
"FirstEnergy W H Sammis","OH",13733153,131646,35039
"FirstEnergy West Lorain","OH",201344,1,40
"FirstEnergy Willow Island","WV",1169379,13115,5394
"Fisk Street","IL",1198447,3486,2234
"Fitchburg","WI",6423,1,21
"Flambeau River Papers","WI",42972,499,325
"Flint Creek","AR",3678337,9944,4623
"Flint River Operations","GA",15927,2495,693
"Florence","VT",1510,2,8
"Florence Mill","SC",573782,5698,1906
"Florida Power Development","FL",996664,5395,1632
"Florida's Natural Growers","FL",47822,0,119
"Flos Inn Diesel","ME",132,0,3
"Foothills Generating LLC","KY",70552,0,186
"Ford Motor Co Rawsonville Plant","MI",350,0,1
"Ford Utilities Center","NM",32723,0,76
"Forest City Light Plant","IA",370,1,7
"Forked River","NJ",36493,0,31
"Formosa Plastics","LA",584724,1,644
"Formosa Utility Venture Ltd","TX",2163725,6,3135
"Fort Bend Utilities","TX",82989,"--","--"
"Fort Churchill","NV",578329,8,2006
"Fort Dodge","KS",204920,1,370
"Fort Greely Power Plant","AK",100,"--","--"
"Fort Lupton","CO",17159,4,54
"Fort Myers","FL",2702025,13,820
"Fort Phantom","TX",483149,3,689
"Fort St Vrain","CO",1912504,11,448
"Fortistar North Tonawanda","NY",33891,0,105
"Foster Wheeler Martinez","CA",412756,2,1082
"Foster Wheeler Mt Carmel Cogen","PA",247145,329,227
"Fountain Valley Power Facility","CO",237435,1,189
"Four Corners","NM",12772721,29799,37718
"Fourche Creek Wastewater","AR",2373,"--","--"
"Fox Lake","MN",56392,20,101
"Fox Metro Water Reclamation District","IL",100,0,2
"Frank E Ratts","IN",1410983,16379,3640
"Frank Knutson","CO",1589,0,15
"Frank M Tait","OH",29692,0,17
"Franklin (LA)","LA",2,"--","--"
"Franklin (NE)","NE",96,0,2
"Franklin Drive","CT",282,0,3
"Franklin Heating Station","MN",81799,9,192
"Frederic Diesel","WI",28,0,1
"Frederickson","WA",2799,0,8
"Frederickson Power LP","WA",94472,0,10
"Fredonia","WA",33796,1,4
"Fredonia","KS",12,"--","--"
"Freeburg","IL",152,0,3
"Freedom Power Project","IL",11531,0,2
"Freeport Energy","TX",3395681,17,9258
"Freeport McMoRan","NM",2232,2,30
"Freestone Energy Center","TX",1697310,"--","--"
"French Island","WI",24093,12,101
"Fresno Cogen Partners","CA",2993,0,8
"Frito-Lay Cogen Plant","CA",29803,0,81
"Front Street","MA",1026,2,20
"Frontera Energy Center","TX",527969,3,149
"Frontier","OK",309453,2,775
"Fruita","CO",300,"--","--"
"Fullerton","TX",10640,0,259
"Fulton (AR)","AR",5837,0,3
"Fulton (MO)","MO",960,1,9
"Fulton Cogeneration Associates","NY",14200,0,16
"Fuyao Glass Illinois Inc.","IL",199,"--","--"
"G E Turner","FL",54887,84,301
"G F Weaton Power Station","PA",674557,124,1306
"G G Allen","NC",4590389,28242,8181
"G W Ivey","FL",33332,6,772
"GE PLASTICS","AL",339506,2,934
"GMMM Westover","NY",915188,13672,2493
"GREC","OK",6939432,15627,13959
"GRS American Canyon","CA","--",0,202
"GRS Arbor Hills","MI","--",0,9
"GRS C&C","MI","--",0,290
"GRS CMS","NC",165,0,56
"GRS Coyote Canyon","CA",364,1,38
"GRS Fall River","MA","--",0,103
"GRS Menlo Park","CA","--",0,240
"GRS Newby I","CA","--",0,242
"GRS Newby II","CA","--",0,366
"GRS Richmond","VA","--",0,150
"GRS Sunset Farms","TX","--",0,259
"Gabbs","NV",69,0,1
"Gadsby","UT",401883,2,273
"Gadsden","AL",614031,7929,1740
"Galena Electric Utility","AK",7239,10,135
"Galion Generating Station","OH",2616,0,1
"Gallatin (TN)","TN",6782096,30989,10716
"Gallup Refinery","NM",27979,0,82
"Gans","PA",31132,0,21
"Garden City","KS",85039,0,190
"Gardner Energy Center","KS",1145,0,3
"Garnett Municipal","KS",406,1,8
"Gary Works","IN",75515,112,1318
"Gas Turbine (IA)","IA",317,0,1
"Gas Utilization Facility","CA","--",0,118
"Gates Peaker","CA",4191,0,15
"Gateway Gen","VA",290,0,6
"Gavin Power, LLC","OH",14553399,29375,39771
"Gaviota Oil Plant","CA",22082,0,56
"Gay Robinson","HI",14,4,58
"Gaylord - Consumers","MI",6172,0,17
"Gaylord - Wolverine","MI",6344,0,19
"Gaylord Container Antioch","CA",220081,1,681
"Gaylord Container Bogalusa","LA",106362,2990,3542
"Geismar","LA",447131,0,101
"Geismar Plant","LA",484142,2,1095
"General Chemical","WY",1315453,5796,1119
"General Electric Aircraft Engines","MA",194089,607,213
"General Electric Diesel Engine Plant","PA",12709,20,255
"General Electric Erie PA Power","PA",348145,2805,683
"General Mills Inc","NY",25564,0,70
"General Mills Operations Lodi","CA",19913,0,56
"General Mills West Chicago","IL",48,0,1
"Genesee Power Station LP","MI","--",27,131
"Geneseo","IL",279,0,6
"Geneva Energy LLC","IL",111304,52,57
"Geneva Steel","UT",21281,"--","--"
"Genoa","WI",2018692,13650,4036
"Geo East Mesa II","CA",71,"--","--"
"Geo East Mesa III","CA",1984,"--","--"
"George Birdsall","CO",101317,1,277
"George Johnson","MI",24336,0,147
"George M Sullivan Generation Plant 2","AK",377741,2,1006
"George Neal North","IA",5709194,19167,14870
"George Neal South","IA",4546176,14167,7491
"Georgetown","IN",13757,0,9
"Georgia-Pacific Big Island","VA",216256,"--","--"
"Georgia-Pacific Brewton Mill","AL",113454,3559,1618
"Georgia-Pacific Cedar Springs","GA",3185341,21242,3776
"Georgia-Pacific Consr Prods LP-Naheola","AL",255016,4443,1712
"Georgia-Pacific Corp - Nekoosa Mill","WI",247334,4356,1058
"Georgia-Pacific Crossett LLC","AR",237926,3036,1501
"Georgia-Pacific Monticello Paper","MS",884,2925,1732
"Georgia-Pacific Palatka Operations","FL",131463,5192,1087
"Georgia-Pacific Port Hudson","LA",270767,3085,1147
"Geothermal 1","CA",15409,"--","--"
"Geothermal 2","CA",15018,"--","--"
"Gerald Andrus","MS",1309114,8,4363
"Gerald Gentleman","NE",9752063,29168,20034
"Germantown","WI",30132,0,8
"Geysers Unit 5-20","CA",121366,"--","--"
"Ghent","KY",11190366,42249,17449
"Gianera","CA",8339,0,23
"Gibbons Creek","TX",3137834,9812,2161
"Gibson","IN",18448108,115537,34692
"Gibson City Energy Center LLC","IL",22121,0,11
"Gilbert","NJ",199020,7,172
"Gillette SBMC","MA",66360,54,158
"Gilliam South","IA",1,"--","--"
"Gillum","IL",4,"--","--"
"Gilman Mill","VT","--",1,13
"Gilroy Peaking Energy Center","CA",28947,0,39
"Gilroy Power Plant","CA",372197,2,991
"Girard","KS",590,0,14
"Girvin Landfill","FL","--",0,130
"Gladstone","MI",8208,13,45
"Gleason Generating Facility","TN",91393,0,66
"Glen Gardner","NJ",19619,0,49
"Glen Lyn","VA",1642418,10596,4390
"Glenarm","CA",623,0,2
"Glencoe","MN",506,0,11
"Glendive GT","MT",3499,0,10
"Glennallen","AK",6416,10,128
"Glenns Ferry Cogen Facility","ID",47748,0,113
"Glenwood","NY",532874,3,391
"Goal Line LP","CA",176075,1,476
"Godwin Drive Plant","VA",786,1,16
"Gold Creek","AK",19,"--","--"
"Goodland","KS",1144,0,26
"Goodyear Beaumont Chemical Plant","TX",539633,3,1401
"Goodyear Power Plant","OH",277197,5489,665
"Gordon","WI",19,"--","--"
"Gordon Evans Energy Center","KS",614649,3473,2095
"Gordonsville Energy LP","VA",96121,3,210
"Gorgas","AL",6677081,50825,15246
"Gould Electronics Foil Division","AZ",92,0,2
"Gould Street","MD",181545,1226,330
"Gowanus Gas Turbines Generating","NY",174014,0,618
"Gowrie","IA",62,0,1
"Graettinger","IA",19,"--","--"
"Grafton","ND",16,"--","--"
"Graham","TX",666289,56,1869
"Gramercy Holdings LLC","LA",336810,3,1401
"Grand Blanc Generating Station","MI","--",0,248
"Grand Chenier Gas Processing Plant","LA",85143,"--","--"
"Grand Haven Diesel Plant","MI",297,0,6
"Grand Isle Gas Plant / Treating Station","LA",4375,0,109
"Grand Junction","IA",85,0,2
"Grand River","MI","--",0,360
"Grand Tower Energy Center LLC","IL",425200,2,311
"Granite City","MN",1808,0,5
"Grant Town Power Plant","WV",603046,61,538
"Grantsburg Diesel","WI",10,"--","--"
"Graphic Packaging","MI",150061,309,230
"Graphic Packaging International","CA",143828,1,367
"Graphic Packaging International Augusta Mill","GA",604640,6426,2533
"Gravel Neck","VA",20393,6,67
"Grayling Generating Station","MI",16807,230,266
"Grays Ferry Cogeneration","PA",545667,7,212
"Grayson","CA",75620,1,16
"Great Bend - Midwest Energy","KS",43,0,1
"Great Bend - Sunflower","KS",58780,0,117
"Greater Detroit Resource Recovery","MI",281769,32,1656
"Green Country Energy LLC","OK",805106,4,183
"Green Knight Energy Center","PA","--",1,140
"Green River","KY",897492,11776,1994
"Green Tree Chemical Technologies","NJ",37464,3,2
"Greene County","AL",3495898,37166,9356
"Greene Valley Gas Recovery","IL","--",1,131
"Greenfield","IA",95,0,2
"Greenidge Generation LLC","NY",1060809,17639,2891
"Greenleaf 1 Power Plant","CA",158745,1,449
"Greenleaf 2 Power Plant","CA",215844,0,1
"Greenport","NY",75,0,1
"Greens Bayou","TX",199496,1,98
"Greensburg","KS",806,0,18
"Greenville Electric Generating Station","OH",81751,0,62
"Greenville Steam","ME","--",12,82
"Greenwood (MI)","MI",864703,2554,946
"Greenwood (MO)","MO",77837,0,214
"Gregory Power Facility","TX",1612807,9,493
"Griffith Energy LLC","AZ",654431,3,99
"Grinnell","IA",942,0,3
"Grossmont Hospital","CA",15109,0,41
"Growgen","CA",4184,0,9
"Grundy Center City Light Plant","IA",55,0,1
"Guadalupe Generating Station","TX",1471789,8,541
"Guadalupe Power Plant","CA","--",0,311
"Gude","MD","--",0,57
"H Allen Franklin Combined Cycle","AL",398326,3,75
"H B Robinson","SC",950375,7652,3157
"H L Spurlock","KY",5836448,36751,7470
"H Power","HI",174837,20,846
"H Wilson Sundt Generating Station","AZ",1075220,2829,2304
"HF Lee Plant","NC",1942830,14093,5004
"HGST San Jose Standby Generator","CA",518,1,2
"HL Power","CA",14410,21,46
"HMDC Kingsland Landfill","NJ","--",0,169
"HMP&L Station Two Henderson","KY",2163266,3161,5157
"Haefling","KY",56,"--","--"
"Hagood","SC",29180,3,40
"Haines","AK",791,1,16
"Hal C Weaver Power Plant","TX",232700,1,479
"Halifax Electric","MA","--",0,174
"Hallam","NE",3525,1,12
"Halstad","MN",3,"--","--"
"Hamakua Energy Plant","HI",348783,1903,1628
"Hamilton (OH)","OH",368935,1416,482
"Hamilton (PA)","PA",5023,8,20
"Hamilton Moses","AR",32902,0,47
"Hammond","GA",3763699,25033,7629
"Hampton Facility","NH",23000,9,200
"Hancock","MI",5354,0,14
"Handley","TX",1415914,7,1834
"Handsome Lake Energy LLC","PA",37400,0,42
"Hanford","CA",264403,36,147
"Hanford Energy Park Peaker","CA",21360,0,350
"Hansel","FL",60978,1,172
"Harbor","CA",317342,2,70
"Harbor Beach","MI",265545,1694,1169
"Harbor Cogen","CA",36057,0,99
"Hardee Power Station","FL",590015,2,18
"Hardeeville","SC",480,1,3
"Harding Street","IN",3428718,42881,6018
"Harford Waste to Energy Facility","MD",52273,"--","--"
"Harlan","IA",40,0,1
"Harlem River Yard","NY",153583,1,13
"Harllee Branch","GA",8180734,67081,25227
"Harrington","TX",7630158,24464,11920
"Harris Lake","NY",136,0,3
"Harrisburg Facility","PA",35952,83,217
"Harry L. Oswald","AR",134443,1,85
"Hart","MI",48,0,1
"Hartco Flooring","TN","--",5,40
"Hartford Hospital Cogeneration","CT",44914,0,123
"Hartwell Energy Facility","GA",182745,5,505
"Hartzog","WY",10129,0,31
"Harvey Couch","AR",58529,0,68
"Hatfields Ferry Power Station","PA",9095446,143983,20924
"Havana","IL",2542909,11686,3602
"Haverhill Paperboard","MA",89958,490,165
"Hawaii Cogen","HI",53471,28,123
"Hawaiian Comm & Sugar Puunene Mill","HI",89644,634,850
"Hawk Road Facility","GA",229650,1,85
